ORDEM DO MêRITO AERONµUTICO;;;;;;;;;;;
;;;;;;;;;;;
INS÷GNIAS - INSTITUIÄÂES;;;;;;;;;;;
;;;;;;;;;;;
(Atualizada atÇ Outubro de 2019);;;;;;;;;;;
;;;;;;;;;;;
NR;SIGLA_ORG;DESCRIÄ«O;INSTITUIC«O;CATEG;DT_INSIG;DT_DOU;REG;;;;
122;EACA;Escola de Artilharia de Costa e AntiaÇrea;ExÇrcito;Estandarte;05/09/1988;20/09/1988;5439;;;;
123;ECEMAR;Escola de Comando e Estado-Maior da Aeron†utica;Aeron†utica;Bandeira;09/10/1956;11/10/1956;398;;;;
124;EEAR;Escola de Especialistas de Aeron†utica;Aeron†utica;Estandarte;12/10/1955;15/10/1955;365;;;;
125;ECEME;Escola de Estado-Maior do ExÇrcito;ExÇrcito;Estandarte;25/04/1949;06/05/1949;133;;;;
126;EGN;Escola de Guerra Naval;Marinha;Bandeira;09/10/1956;11/10/1956;396;;;;
127;EIEsp-Ex;Escola de Instruá∆o Especializada do ExÇrcito;ExÇrcito;Estandarte;16/09/1986;22/09/1986;4814;;;;
128;EOEIG;Escola de Oficiais-Esp. e de Infantaria de Guarda;Aeron†utica;Estandarte;14/10/1958;20/10/1958;583;;;;
129;ESA;Escola de Sargentos das Armas;ExÇrcito;Estandarte;23/09/1997;24/09/1997;7127;;;;
130;EMAv-CO;"Escola Militar de Av ""Marco Fidel Suarez"" Colìmbia";Colìmbia;Estandarte;03/03/1970;04/03/1970;1908;;;;
131;EN;Escola Naval;Marinha;Estandarte;02/10/1978;03/10/1978;3120;;;;
132;EPCAR;Escola Preparat¢ria de Cadetes do Ar;Aeron†utica;Estandarte;14/10/1958;20/10/1958;582;;;;
133;ESG;Escola Superior de Guerra;ExÇrcito;Bandeira;16/10/1959;21/10/1959;635;;;;
134;EAS;Esquadr∆o Aeroterrestre de Salvamento;Aeron†utica;Estandarte;04/10/2007;05/10/2007;10001;;;;
135;EDA;Esquadr∆o de Demonstraá∆o AÇrea;Aeron†utica;Estandarte;06/09/2004;08/09/2004;9233;;;;
136;EMCFA;Estado-Maior Conjunto das Foráas Armadas;MinistÇrio da Defesa;Estandarte;27/10/2013;27/10/2013;12105;;;;
137;EMAER;Estado-Maior da Aeron†utica;Aeron†utica;Bandeira;19/10/1970;19/10/1970;1910;;;;
138;EMA;Estado-Maior da Armada;Marinha;Estandarte;07/10/1994;13/10/1994;;;;;
139;EMFA;Estado-Maior das Foráas Armadas;EMFA;Bandeira;20/09/1983;27/09/1983;4149;;;;
