Posto/Quadro/Qualificação; Nome;Nº Portaria;Data Portaria
1S QSS BCO;Gilvan Aparecido Teixeira;262/SC;41058
Cel Av R/1;Gilvan Chaves Coelho;388/SC;39248
Senhor;Gilvan da Silva Dantas;341/SC;40323
SO QSS SGS ;Gilvan dos Santos Duarte;968/SC;41428
Senhor ;Gilvan Ferreira dos Santos;968/SC;41428
Ten Cel Capl;Gilvan Gomes das Neves;262/SC;41058
Maj Brig Ar;Gilvan Martins Ferreira;;30483
Senhor;Gilvan Pereira do Rêgo;;31945
CB QCB SAD;Gilvan Rodrigues;400/SCC;35593
Sd PM (RJ);Gilvan Rodrigues de Souza;;25758
Cel Av;Gilvan Vasconcelos da Silva;408/SC;37399
Maj Esp Com;Gilvandro Guedes Raposo;;23209
1S QSS SDE;Gingleison Alves Figuerêdo;649/SCGC;43230
Cel Eng;Gino Roseano;;32659
Civil;Gioconda Mercedes Brasil da Silva;461/SC;39958
Maj QOMED;Gioji Ricardo Okino;728/SCGC;43598
Cel Av R/1;Giorgi Martins Rodrigues;687/SC;38525
Senhor;Giorgio Picca;531/SC;37782
Cel Av;Giorgio Sulprizio;;24680
SO QSS BEP ;Giovane Kassten de Moraes;798/SCGC;42886
Doutor;Giovani Antonio Marsico;400/SCC;35593
Cap Esp Sup;Giovani Magalhães Spinelli;461/SC;39958
Cel Inf (Ex);Giovani Moretto;566/SCGC;43969
Cap QOEA SVE;Giovani Pereira Costa Ramos;721/SCGC;29/05/2015
Ten Cel QFO FIS ;Giovania Vivan Vieira;968/SC;41428
1S QSS BCO;Giovanni Baptista Costa;649/SCGC;43230
1º Ten QOEA SVA;Giovanni Bittencourt Gularte;877/SCGC;41789
Cel Av;Giovanni Figueiredo Zoch;;32659
C Alte (FN);Giovanni Gargiúlo;;26476
Maj Int;Giovanni Magliano Junior;423/SC;39610
1º Ten Av;Giovanni Mazzone;;24680
Senhor;Giovanni Panei;388/SC;39248
Procurador da Justiça Militar;Giovanni Rattacaso;370/SCC;36307
Senhor (Itália);Giovanni Sulla;531/SC;37782
Cel Av R/1;Giovanny do Livramento Batista;423/SC;39610
Cel Av;Girceu Machado;;24299
3S QESA SOB;Girlandio Chaves Soares;271/SC;40682
Senhor;Girson Pereira Lopes;;26476
Ten Cel QFO Ans R/1;Gisela dos Santos Pellegrino;531/SC;37782
Senhora;Gisela Suckow Lima de Oliveira;;34131
1S QSS SAD;Gisele Fernandes Soares;566/SCGC;43969
Maj Med;Gisele Leite L´Abbate;262/SC;41058
Ten Cel QFO BIB;Giseli Dias da Rocha;596/SC;38875
Maj Int;Giselle Machado Alves Mota;649/SCGC;43230
SO QFG SAD;Gislane Gamper Feitoza;388/SC;39248
Gen Bda;Gislei Morais de Oliveira;461/SC;39958
CF;Giucemar Tabosa Cardoso;341/SC;40323
Senhor ;Giuglio Settimi Cysneiros de Oliveira;968/SC;41428
Coronel-Aviador (Itália);Giuliano de Carlo;531/SC;37782
Cel Ex;Giuliano Giovannelli;;27284
Senhor;Giuseppe Cappellano;408/SCC;35969
Cel;Giuseppe Crispino;262/SC;41058
Senhor;Giuseppe Di Lorenzo;;28262
Piloto Civil;Giuseppe Guido;;34844
Ten Cel Av;Giuseppe Marani;;32659
3S QSS BCT;Giuseppe Maset Neto;271/SC;40682
General;Giuseppe Pesce;;30434
Cel Av;Giuseppe Schiavo;;30118
1S QSS BMA ;Giuseppe Valitutti Netto;798/SCGC;42886
Maj Méd;Givaldo Gomes Padilha;;21941
1º Ten Inf;Givaldo Matias;;30848
Ten Cel QFO Ped R/1;Gizza Aparecida Rodrigues de Brito;687/SC;38525
Tecnologista ;Glaci Ferreira Martins Pinheiro;968/SC;41428
Senhora;Glacy Moreira Alvares Gil;;26476
Doutora;Gladis Maria Cercal de Godoy;;32295
SO QSS SDE;Gladiston Lucas Andre da Silva;341/SC;40323
SO QSS BMA;Gladston Pereira Aleixo;565/SCGC;42513
Cel Ex;Gladstone Maia;;29388
Senhora;Glassy Mattos de Carvalho;;26843
Senhora;Glauben Teixeira de Carvalho;408/SC;37399
Maj QOAV;Glauber Lage Moreira Claver Silva;728/SCGC;43598
Ten Cel Dent;Glauce Amaral Pinto Rubim;565/SCGC;42513
CT (T);Glauce Maia Nonato Pires;262/SC;41058
Maj Int;Glaucia Maria Gomes da Costa de Oliveira;565/SCGC;42513
SO QSS SAD;Glaucio de Barros Mesquita;;27575
Ten Cel Av;Glaucio Luiz de Oliveira;565/SCGC;42513
Ten Cel Av R/1;Gláucio Mancini Ferreira;596/SC;38875
Maj Av;Glaucio Octaviano Guerra;461/SC;39958
Cap Av;Glaucio Wellington Ocampos da Silva;262/SC;41058
CMG;Glauco Castilho Dall'Antonia;327/SCC;36665
1S QSS BCO;Glauco de Oliveira Barros;423/SC;39610
Comandante;Glauco Di Giácomo;;30848
Professor;Glauco Lessa de Abreu e Silva;;26843
Maj Med ;Glauco Thurler Micchi;798/SCGC;42886
Cel Av R/1;Glaucus Gomes Galvão;;34516
Cap Méd;Glauro Guerra de Oliveira;;23750
1S QSS SAD;Gledson Barbosa de Oliveira;728/SCGC;43598
Cel Eng (Ex);Gleidson Santos Da Costa;566/SCGC;43969
3S QTA TAR;Gleidson Soares dos Santos;667/SC;38160
Ten Cel Int;Gleidson Tavares Barbosa dos Santos;596/SC;38875
Ministra da Casa Civil;Gleisi Helena Hoffmann;344/SC;40716
Cap Av;Gleison Antonio Somensi;461/SC;39958
Ten Cel Av;Glen Peach;;34516
Senhora;Glenda Aparecida Romano de Figueiredo Nunes;410/SC;37033
Gen Bda;Glênio Pinheiro;;30848
Selhor;Glenn Oswaldo Cole;;27941
Gen Ex;Gleuber Vieira;;27575
Maj Av ;Gleydson Marcio Tavares Cavalcanti;798/SCGC;42886
1S QFG SAD;Glicer Emília Gomes Alves;531/SC;37782
Cap Adm;Glicério Fernandes de Araújo;;30483
Ten Cel QFO;Glória Celeste Vidigal de Lacerda;271/SC;40682
Senhora;Glória Maria da Silva Oliveira;877/SCGC;41789
Senhora;Glória Regina Esteves de Lira;341/SC;40323
SO QFG SAD;Gloribalda Rocha de Marins Souza;877/SCGC;41789
SO QSS SEF;Glycério Augusto Malzac;408/SC;37399
Ten Cel Ex;Glycério Vieira Proença Júnior;;27941
Cel Ex;Godofredo de Araújo Neves;;27575
1º Ten Av;Godofredo de Freitas Nunes;;20839
Senhor;Godofredo Nunes Filho;;20839
Brig Ar;Godofredo Pereira dos Passos;;23750
Ministro;Godofredo Rayol de Almeida Santos;;31580
Maj Brig Ar;Godofredo Vidal;;20836
Cel (Zâmbia);Godwin Chenda;566/SCGC;43969
Senhor;Goiaci Alves Guimarães;687/SC;38525
Gen Div;Golbery do Couto e Silva;;24299
Senhor;Gomes Ferreira da Silva;;20839
1S QSS BMA;Gonçalo Rodrigues dos Santos;;25045
Doutor;Gonçalo Torrealba;;23399
Escritor;Gondim da Fonseca;;20836
Senhor;Gontijo Teodoro;;24667
Comandante;Gonzalo Javier Opazo Drouillas;877/SCGC;41789
Cel Av;Gonzalo Padilla Panoso;;34844
Professor;Gordiano de Faria Alvim Filho;;28671
Senhor;Gordon S. Wight;;25126
Cel Av;Gotardo Maia;;23390
V Alte;Gothardo de Miranda e Silva;;27941
CMG;Gottlieb Pandeni;649/SCGC;43230
Comandante;Götz Herzfeldt;;32295
SO QFG SAD;Grace Mary Barreto Teixeira;271/SC;40682
Senhor;Graciano Antônio Bracco;;30483
Prefeito;Graciano Espíndula Filho;;31580
Doutor;Grácio Barbalho;;31945
Cap QOEA;Gracir de Melo Pisco;;33758
2º Ten Av;Graco Magalhães Alves;;20828
Doutor;Gratuliano Ximenes de Oliveira;;27204
2S QSS SAD;Graziela de Sousa Azevedo;877/SCGC;41789
Senhora;Graziela Martins Cordeiro;667/SC;38160
Maj Av ;Gregore denicolo;798/SCGC;42886
Gen Div;Gregório de Paiva Meira;;28306
Ten Cel Méd;Gregório Feldman;410/SC;37033
Diretor Nacional do Protocolo do Estado ;Gregorio Santos Lopes Semedo;798/SCGC;42886
Maj Av;Grei Santana Gonsalves;721/SCGC;29/05/2015
Ten Cel Ex;Grimaldo Ladislau de Martins Castilho;;23209
SO QSS SAD ;Griverson Cruz Veneno;968/SC;41428
Brig Ar R/1;Gromori Vasconcellos de Andrade;;29388
Coronel;Grover Gallinate Quiroga;400/SCC;35593
Cel Av;Gruber Odreman Roberto;;30483
Brig;Gualberto F. Trelles;;20953
Cap Méd;Gualberto Nogueira de Leles;;32659
Cel Av;Gualter Alcoforado Nogueira;;28306
2S QSS SEL;Gualter Barbosa de Moura;;22635
2° Ten QOEA SVA;Gualter José dos Santos Junior;667/SC;38160
C Alte;Gualter Maria Menezes de Magalhães;;24667
Gen Bda;Gualter Veras Júnior;;33389
Maj Esp Av;Guanji Nishihara;;30848
Senhor;Guaraci Gonçalves;400/SCC;35593
SO QSS BEV;Guaraci José Gonçalves;;33389
SO QSS BMB;Guaraci Macedo de Miranda;423/SC;39610
SO QSS BCT;Guaraci Oliveira da Graça;728/SCGC;43598
SO QSS BCT;Guarassu Mota;;29388
Gen Bda ;Guasner Oswaldo Espinoza;388/SC;39248
Sd PM (RJ);Guater Lacopo;;25758
Cel Av;Guenter Hans Stolzmann;;24299
Ten Cel Dent;Guerino Antônio Guerra;667/SC;38160
Tenente-Coronel Aviador (Bolívia);Guery Richard Jaldin Pastor;728/SCGC;43598
Cel Farm;Guido Alves Cota;;28671
Cel Art(EB);Guido Amin Naves;423/SC;39610
Cel Av;Guido Arrien Sueldo;;25913
Doutor;Guido de Almeida Emmanuel;;31945
1S QSS SAD;Guido de Araújo Barbosa;;25758
Maj Brig Ar Ref;Guido de Resende Sousa;;26843
Professor;Guido dos Santos;;32295
Ten Cel Av;Guido Eduardo Sylva Lombeida;;25478
Doutor;Guido Faria de Carvalho;;33758
Ministro;Guido Fernando Mondin;;31945
Doutor;Guido Fontegalante Pessotti;;27204
Maj Brig Ar;Guido Jorge Moassab;;23565
Senhor;Guido Luchese;;30848
1S QSS SEL;Guido Luiz Plentz;;29388
Ministro de Estado;Guido Mantega;531/SC;37782
Maj Av;Guido Numeres Cabrera;;23168
Ten Cel Esp Com;Guido Santos de Almeida;;29011
1S QSS BFT;Guido Zeni Júnior;461/SC;39958
Ten Cel Esp Av;Guilber Veneza Gonçalves;;31215
Maj Av;Guilermo Niezen;;21492
1S QSS SAD ;Guilherme Abrahão Dias;968/SC;41428
Senhor;Guilherme Adolfo Schmidtke;;23565
Deputado Federal;Guilherme Afif Domingos;;33024
Cel Ex;Guilherme Alberto Barbosa Fregapani;;30483
Cel Av;Guilherme Alberto Dias Cal;;23937
3S QESA SEF;Guilherme Alfredo Salin;728/SCGC;43598
Senhor;Guilherme Aluízio de Oliveira Silva;;33024
Cel QOENG;Guilherme Antonio Matos Rodrigues;728/SCGC;43598
Piloto;Guilherme Augusto Fontes Blum;565/SCGC;42513
Cel Eng;Guilherme Augusto Vargas Cesar;388/SC;39248
CF (MB);Guilherme Barros Moreira;566/SCGC;43969
Senhor;Guilherme Cañedo;;25758
SO QSS BEI;Guilherme Carvalho Lobato;388/SC;39248
Senhor;Guilherme Codeceira;408/SC;37399
Maj Ex;Guilherme Cyrino de Oliveira;;30118
CF;Guilherme da Silva Costa;423/SC;39610
Empresário;Guilherme de Albuquerque Santos;721/SCGC;29/05/2015
Senhor;Guilherme de Almeida Vieira;;24114
Geólogo;Guilherme de Oliveira Estrella;687/SC;38525
Doutor;Guilherme de Oliveira Figueiredo;;31945
Ten Cel Eng;Guilherme de Sousa Neves;400/SCC;35593
SO QSS BCO;Guilherme Dias da Motta;;32295
1º Ten R/1;Guilherme do Val Boscarino;327/SCC;36665
SO QSS BEV;Guilherme dos Santos Alves;400/SCC;35593
Maj QOAV;Guilherme dos Santos Araújo;728/SCGC;43598
Ten Cel Int;Guilherme Duarte de Freitas;388/SC;39248
Senhor;Guilherme Dumont Villares;;20839
Arquiteto (CFIAE) ;Guilherme Etchebehere;798/SCGC;42886
3S QSS BCT;Guilherme Flor Matos;271/SC;40682
1S QSS BCO;Guilherme Fonseca da Silva;649/SCGC;43230
Cel Av;Guilherme Francisco de Freitas Lopes;;35228
Comandante;Guilherme Gmachz;;29011
Maj Art;Guilherme Guimarães Ferreira;271/SC;40682
Ten Cel Av;Guilherme Guimarães Júnior;400/SCC;35593
CF (Md);Guilherme Guimarães Wimmer;649/SCGC;43230
Doutor;Guilherme Hatab;;29753
Maj Brig Int;Guilherme Howat Rodrigues Júnior;;22635
Cel Av;Guilherme Jonas Feliciano;596/SC;38875
Cel Inf;Guilherme José da Costa Nascimento;667/SC;38160
Gen Div;Guilherme José da Rocha;;31945
Cap Dent ;Guilherme José de Campos Barros;968/SC;41428
Doutor;Guilherme José Robalinho de Oliveira Cavalcanti;;34516
Cel Av;Guilherme Leite Lopes;;31215
Cel Int (Ex);Guilherme Louro Braga;566/SCGC;43969
Embaixador;Guilherme Luiz Belford-Roxo Leite Ribeiro;;30118
Cap Int;Guilherme Maria Cristovam Walenkamp;;30483
C Alte;Guilherme Mattos de Abreu;531/SC;37782
Deputado Federal;Guilherme Muraro Derrite;566/SCGC;43969
Senhor;Guilherme Nelson Gadelha Alves;;26843
Maj Inf;Guilherme Oliveira Kavgias;566/SCGC;43969
Secretário ;Guilherme Pacífico da Silva;968/SC;41428
Maj Av;Guilherme Pedro Siqueira Borges;721/SCGC;29/05/2015
Maj Eng;Guilherme Pezzi;;28671
Ten Cel Av;Guilherme Picolo Salazar Costa;388/SC;39248
Doutor;Guilherme Quintanilha de Almeida;;31580
Conselheiro;Guilherme Raymundo Barbedo Arroio;;29753
Cel Av;Guilherme Rebelo da Silva;;22635
1S QSS SOB;Guilherme Rezende Tondato;;30483
Maj Dent;Guilherme Ribeiro Pecanha;565/SCGC;42513
Senhor;Guilherme Ritter;;30848
Cel Av;Guilherme Ruy Alves de Souza;531/SC;37782
Brig Ar;Guilherme Sarmento Sperry;;24299
Doutor;Guilherme Socias Villela;;29011
CMG;Guilherme Souza Dias;565/SCGC;42513
Cel Ex;Guilherme Souza Stiebler;;29011
Ten Cel Av;Guilherme Stanzel;;33758
Senhor;Guilherme Teodoro Mendes;408/SCC;35969
Maj Av ;Guilherme Toscano Barreto Ferreira Lyra;798/SCGC;42886
Senhor;Guilherme Valadares Vasconcelos;341/SC;40323
Ten Cel Av Ref;Guilherme Valle de Freitas Ferreira;;29011
Cel Int;Guilherme Vianna Serrão;;28671
Brig Av;Guilhermo Adolfo Donadille;410/SC;37033
Senhor;Guilhermo Fernandez;;30848
Doutor;Guillard José Muniz;;26854
Coronel;Guillaume Albert Ndjock Bapah;143/SCGC;43488
Maj Gen;Guillermo Alegre Soriano;;21109
Comodoro;Guillermo Angel Martínez;271/SC;40682
Major;Guillermo Brevalo Gumucio;;24958
Ten Cel Av;Guillermo Chiriboga;;29900
CT;Guillermo Cruz Vizaco;262/SC;41058
Ten Cel Nav (Argentina);Guillermo Enrique Puccio;327/SCC;36665
Gen Bda;Guillermo Federico Clebsch;;29011
Briga Gen Ar;Guillermo León León;271/SC;40682
Comodoro;Guillermo Manuel Fossatti;;30848
Maj Gen;Guillermo Martinez Davila;;31945
CMG;Guillermo Mateu Roldan;;25545
Ten Gen;Guillermo Van Oordt L.;;22747
Senhor;Guillermo Venegas Gonzales;;26819
Comodoro;Guillermo Vicente Mendiberri;;29965
Senhora;Guiomar dos Santos;;33024
General-de-Divisão;Gulherme Cals Theophilo Gaspar de Oliveira;271/SC;40682
Cel Av R/1;Gumercindo José Marques;327/SCC;36665
Senhor;Gumercindo Pereira Coutinho;;28306
SO QSS BMT;Gunart Karklin;;28671
Cap Av;Gunter Hans Stolzmann;;24299
Doutor;Gustav Rodeck;;28306
Doutor;Gustavo A. Mendes Valdês;;24114
Cel Av;Gustavo Adolfo Camargo de Oliveira;408/SC;37399
Ten Cel Av;Gustavo Adolfo Franco Ferreira;;30483
Cel (Ex);Gustavo Adolfo Torres Marques;;34844
CMG;Gustavo Adolpho Engelke;;25395
Maj Cav;Gustavo Adolpho Lourenço Gomes;341/SC;40323
Doutor;Gustavo Adolpho Niess;;31580
Cel Av;Gustavo Alberto Krüger;531/SC;37782
Professor;Gustavo Alberto Trompowsky Heck;;30848
SO QSS BCT;Gustavo Aparecido Lopes Pompeu;423/SC;39610
Maj Eng;Gustavo Barbi Vieira;565/SCGC;42513
Asp QOCon Eng;Gustavo Boguszewski;271/SC;40682
Deputado Federal;Gustavo Bonato Fruet;388/SC;39248
Cap Av;Gustavo Borges Basilio;565/SCGC;42513
Maj Av;Gustavo Carlos Gammerdinger Veras;566/SCGC;43969
Maj Int;Gustavo Carlos Gomes de Freixo;565/SCGC;42513
1S QSS BCO;Gustavo Cerqueira Ladeira;728/SCGC;43598
1S QSS SGS;Gustavo Cesar Lima de Freitas;649/SCGC;43230
Escritor;Gustavo Corção Braga;;26115
Doutor;Gustavo Coutinho de Rezende;;31580
Cap Int;Gustavo da Silva Welte;877/SCGC;41789
Maj Av;Gustavo De Oliveira Pascotto;566/SCGC;43969
SO QSS SEM;Gustavo de Souza Kistenmacker;262/SC;41058
Engenheiro;Gustavo Dias da Silva Neto;;35228
Maj Inf;Gustavo do Amaral Gama;565/SCGC;42513
Cel Av (Venezuela);Gustavo Enrique Zambrano Garcia;327/SCC;36665
Cap Eng;Gustavo Erivan Bezerra Lima;877/SCGC;41789
Ten Cel Eng;Gustavo Farhat de Araujo;649/SCGC;43230
Doutor;Gustavo Ferraz Gominho;388/SC;39248
Maj Av;Gustavo Ferreira Rizzuti;649/SCGC;43230
Cap Méd;Gustavo Figueiredo Moraes;262/SC;41058
2S QSS BMT;Gustavo Funk;;22635
Cap Av ;Gustavo Furlan Aquino;968/SC;41428
1S QSS SAD;Gustavo Germani Martins;877/SCGC;41789
Maj QOAV;Gustavo Goulart Rossi;728/SCGC;43598
Doutor;Gustavo Gross;;31945
Gen Bda;Gustavo Henrique Dutra de Menezes;649/SCGC;43230
Procurador (PRU/SP);Gustavo Henrique Pinheiro de Amorim;461/SC;39958
Vereador;Gustavo Írcio Filippo Fernandes;;33389
Ten Cel Art;Gustavo José Baracho de Sousa;565/SCGC;42513
Cel PM (PE);Gustavo José Monteiro Guimarães;408/SCC;35969
Senhor;Gustavo José Valle Dias;;26843
Ministro de Estado;Gustavo Krause Gonçalves Sobrinho;;29038
Maj Av;Gustavo Luis da Silveira e Eliseu;388/SC;39248
Ten Cel Inf;Gustavo Luiz De Lima Correia;566/SCGC;43969
SO QSS SAD;Gustavo Luiz Silva Ribeiro;408/SC;37399
Cel Art;Gustavo Luiz Sodré de Almeida;388/SC;39248
Cel (Ex);Gustavo Manoel Fernandes Júlio;;32295
Cel ;Gustavo Manuel Diaz Lanza;388/SC;39248
Cel Inf;Gustavo Martinez Issasi;;29965
Maj Dent;Gustavo Mestieri De Macedo;566/SCGC;43969
Gen Bda;Gustavo Moraes Rêgo Reis;;23760
Maj Inf (Ex);Gustavo Moreira Mathias;877/SCGC;41789
CF ;Gustavo Pazinato da Cunha;798/SCGC;42886
Maj Av;Gustavo Pestana Garcez;262/SC;41058
Senhor;Gustavo Ramos Bezerra;;30848
1º Ten QOEA GDS;Gustavo Ribeiro Capibaribe;262/SC;41058
SO QSS BMA;Gustavo Romeu Teodósio;;29011
Maj Av;Gustavo Senter Magajevski;566/SCGC;43969
Senhor;Gustavo Vanderley;388/SC;39248
Maj Dent;Gustavo Varanda Huber;649/SCGC;43230
Ten Cel Esp Av;Gustavo Wetsch;;30118
Cap Av;Gustavo Winckler de Oliveira;877/SCGC;41789
Maj Méd;Gustavo Zanelli;;33389
Cel Méd;Gutemberg Correia da Silva;687/SC;38525
3S PM (RJ);Gutemberg Dias Palmeira;;25758
Cel Int;Gutembergue Gomes da Silva;;33024
SO QSS SMU;Gutenberg de Santa Rosa;327/SCC;36665
SO QSS SAD;Gutenberg Melo de Seixas Borges;423/SC;39610
Cap QOEA GDS R/1;Guthemberg Tolentino Alvares;423/SC;39610
Cel Méd;Guthman Albuquerque Maranhão;;30483
Capitão R/1;Guttemberg Rodrigues Pereira;;29388
Doutor;Guy Affonso de Almeida Gonçalves;;31580
Capitão de Fragata (Canadá);Guy Joseph Rosial Desnoyers;687/SC;38525
Ministro 2ª Classe;Guy Marie de Castro Brandão;;26897
Major;Guy Pellet;;26897
Coronel (Coréia);Ha Jong Kang;667/SC;38160
Coronel-Aviador (Peru);Habacuc Quispe Arones;408/SC;37399
SO QSS BEI;Hada Yuske;;28306
Cel Av ;Hadiyan Sumintaatmadja;388/SC;39248
V Alte (Md);Hadoram Calazans;;30848
Subsecretário de Regulação e Infraestrutura do Ministério da Fazenda       ;Hailton Madureira de Almeida;565/SCGC;42513
Ten Cel Inf (Ex);Halley Bezerra Dantas;565/SCGC;42513
CMG RRm;Hamilcar Lauria Coelho Franklin da Costa Júnior;408/SCC;35969
Cel Av;Hamilton Antônio Machado;;31580
Ten Cel Esp Fot;Hamílton Barra;;31215
Juiz;Hamílton Bastos Lourenço;;30848
SO QSS SAD;Hamilton Bondia Dias;271/SC;40682
1º Ten Inf;Hamílton Bonetto Schinko;;24114
SO QSS BET;Hamilton Brandão Costa;408/SC;37399
Cel Int;Hamilton Bueno de Oliveira;531/SC;37782
3S QESA SAD;Hamilton Carlos da Gama;410/SC;37033
SO QSS SAD;Hamílton Coelho Braz;;28306
Doutor;Hamilton Cunha Kozlowski;;32295
Brig Méd;Hamílton da Costa Cardoso;;29388
Cap QOEA;Hamilton da Cruz Mendes;;31945
SO QSS BCT;Hamilton da Rocha Santos Junior;728/SCGC;43598
Senhor;Hamilton do Rosário Werneck;636/SCGC;42527
SO QSS SAD;Hamilton Dutra Vargem;370/SCC;36307
1S QSS BMA;Hamilton Fernandes Duz;728/SCGC;43598
Cel Av R/1;Hamílton Ferreira Ambrosano;;30118
SO QSS BMA;Hamilton Ferreira Lima;721/SCGC;29/05/2015
Ten Cel Eng;Hamílton Guimarães Fonseca;;23937
Capitão-de-Mar-e-Guerra;Hamilton Jorge da Gama Henrique;531/SC;37782
1S QSS SGS;Hamilton José da Silva;565/SCGC;42513
1S QSS SEF;Hamilton Leonardo da Silva;;26281
Cel (Ex);Hamilton Lima da Rocha Callado;;34844
Ten Cel Av;Hamilton Lima da Rocha Callado Júnior;596/SC;38875
Maj Int;Hamilton Lima da Silva;;28671
Ten Cel Av;Hamilton Marques da Silva Júnior;;32295
SO QSS BCO;Hamílton Marques de Abreu;;30118
Senhor;Hamilton Martins Simões;;25758
Maj Av;Hamílton Mota;;26476
2S QSS SML;Hamilton Paulino da Silva;;23390
Ten Cel Av;Hamílton Pedro Manes;;27575
Cel Av;Hamílton Pinto de Aguiar;;27204
Doutor;Hamílton Pontes Beltrão;;23025
2º Ten QOEA SVA;Hamilton Salaberry Platana;721/SCGC;29/05/2015
Cap Dent (Ex);Hamílton Tavares Reis;;29388
Economista;Hamilton Walter Avelar Xavier;;34844
Maj Brig Ar;Hamlet de Azambuja Estrêla;;21941
Engenheiro;Hang Har Yoe;;34131
Doutor;Hans B. Collet-Solbert;;28671
Cap Av;Hans Bostelaman Peterson;;20747
Cap Av;Hans Erik Hanson;;31342
Ten Cel Ex;Hans Gerd Haltenburg;;26115
Maj Av;Hans Lammers;;33024
Gen Div (Eng Mil);Hans Luís Altenburg;;30848
Ten Brig;Hans Trautlof;;24086
Senhor;Hans Willi Ludwig Theodor Kohrer;;30848
Ten Brig Ar R/1 ;Hans-Joachim Schubert;968/SC;41428
Ten Cel Eng;Hans-Peter Salz;461/SC;39958
Cel Av;Hanz Werner Rottermund;;32659
Cel Av;Harald Ivar Kuhne;;26115
Comandante;Hardy Carlos Brust;;33758
Cap Dent;Harley de Macedo Cordeiro;721/SCGC;29/05/2015
Maj Com ;Harley de Pinho;968/SC;41428
3S QSS BMA;Harley Gioseffi Guimarães;;23013
Maj Esp Com Ref;Harley Valadão Sofia;;31945
Maj Inf;Harlício Dienstmann;;30848
Cap R/1;Harly Leandro da Silva;667/SC;38160
Ten Cel Av Ref;Harold Lyra Vergara Filho;;31064
Ten Cel;Harold Morris Cox;;25010
Coronel (USAF);Harold P. G. M. Thomas;;25542
Cel Méd;Harold Richard Persi;262/SC;41058
1º Ten QOEA;Harold Zischegg;;29388
CF;Haroldo Alves de Almeida;;25045
Gen Bda;Haroldo Assad Carneiro;461/SC;39958
SO QSS SAD;Haroldo Augusto Fernandes;;31945
Cel Ex;Haroldo Azevedo da Rosa;;30118
Cap Av;Haroldo Barbosa Botelho;;21205
C Alte;Haroldo Basto Cordeiro Júnior;;27204
SO QSS BSP;Haroldo Batista de Oliveira;;34844
CMG (IM);Haroldo Belém;;29753
SO QSS SPV;Haroldo Bezerra Dias;877/SCGC;41789
1S QSS BMA;Haroldo Brega;;22635
Ten Cel Farm;Haroldo Carrielo;;32295
Brig Ar;Haroldo Coimbra Veloso;;24667
Gen Ex;Haroldo Corrêa de Mattos;;29011
Maj Av;Haroldo Correa Ferret;566/SCGC;43969
SO QSS SAD;Haroldo da Cunha Izaguirre;423/SC;39610
C Alte;Haroldo de Almeida Rego;;32659
Doutor;Haroldo de Almeida Rego Filho;;31945
Doutor;Haroldo de Castro Oliveira;;33389
Ministro de Primeira Classe ;Haroldo de Macedo Ribeiro;798/SCGC;42886
Cel Int;Haroldo de Oliveira Bonasser;596/SC;38875
SO QSS BMA;Haroldo dos Santos Junior;877/SCGC;41789
Gen Ex;Haroldo Erichsen da Fonseca;;29011
Maj Av;Haroldo Graner;;27204
Coronel-Engenheiro-Militar;Haroldo Leite Ribeiro;667/SC;38160
CF;Haroldo Lopes Pereira;;25758
1S QSS BMB;Haroldo Lopes Traverso;;25045
Cel Av;Haroldo Luiz da Costa;;25045
C Alte (FN);Haroldo Luiz Rodrigues;;30118
Cel Int;Haroldo Pinho de Figueiredo;;30118
Cap (Ex);Haroldo Pinto Pacca;;20836
Doutor;Haroldo Portela;;20839
Ten Cel Int;Haroldo Prado de Azevedo;;28671
Cap QOEA;Haroldo Raimundo de Almeida;271/SC;40682
CMG;Haroldo Ramos;;23760
Maj Inf;Haroldo Reif de Paula;;22635
Cel Av;Haroldo Ribeiro Fraga;;22635
Ten Cel Int;Haroldo Sauer Guimarães;;26115
Professor;Haroldo Valadão;;21364
Doutor;Harri Valdir Graeff;;29753
Cap Esp Met;Harrison Bezerra Rodrigues;341/SC;40323
Comandante;Harro Cyranka;;25377
Senhor;Harro Fouquet;;28306
Gen Ex;Harry Alberto Schnarndorf;;27941
Doutor;Harry Amorim Costa;;29011
SO QSS SAD;Harry Naatz;;33758
Senhor;Harry Schuetz;;26843
Cap Av;Hartman Rudi Gohn;;23209
Ten Cel Méd;Harvey Ribeiro de Souza;;23209
Cel Int R/1;Haschially Batista Andrade Pereira Venuciano;410/SC;37033
Professor;Hayao Haratani;;31215
Ten Cel Av;Hayato Toda;341/SC;40323
CT ;Hayato Yahiro;968/SC;41428
2S QSS BSP;Haylton Lemos de Andrade;;28671
Professor;Hazim Ali Al-Qureshi;;34844
Cel Av;Heber de Oliveira Moura;;23565
Maj Av;Heber Perillo Fleury;;23937
1S QSS SAD;Hebert Cintra Bastos;566/SCGC;43969
1º Ten Esp Com;Hebert dos Santos;423/SC;39610
Vice-Comodoro (Argentina);Héctor Antonio Favaro;596/SC;38875
Cel Av;Hector Calafi Baptista;;24806
General-de-Brigada (Venezuela);Héctor Gerardo D'Armas Dugarte;667/SC;38160
Cap Av;Hector Granja;;21492
Ten Cel Av;Hector Heredia Villamar;;29900
Ten Cel;Hector Hernan Barrientos Parra;;32659
Ten Gen ;Héctor Hugo Camacho Pauta;388/SC;39248
Inspetor Principal;Hector Ignácio Gibbons;;29011
General-de-Brigada (Venezuela);Héctor Luis Valencia Sanoja;410/SC;37033
