Cel Av;ROBSON LUIS LOPES DOS SANTOS;(Oficial)
Cel Av;ROBSON RODRIGUES FREITAS;(Cavaleiro)
Cel Av;RODRIGO GIBIN DUARTE;(Oficial)
Senador (MG);RODRIGO OTAVIO SOARES PACHECO;(Grande-Oficial)
Gen Bda;RODRIGO PEREIRA VERGARA;(Comendador)
S Ten Inf;RODRIGO TAVARES DIAS;(Cavaleiro)
CMG (IM);ROGÉRIO DA SILVA PINTO;(Oficial)
Cel Av;ROGERIO FABIANO SCHIFFLER;(Oficial)
Ministro de Estado;ROGÉRIO SIMONETTI MARINHO;(Grande-Oficial)
Cel Av;RÔMULO COUTINHO LUCAS;(Oficial)
Embaixador;RONALDO COSTA FILHO;(Grande-Oficial)
SO QSS BET;RONALDO FRANCA CARDEAL;(Cavaleiro)
Auditor Fiscal;RONALDO LÁZARO MEDINA;(Cavaleiro)
Secretário;RONEI SAGGIORO GLANZMANN;(Comendador)
General del Aire (PARAGUAI);RUBEN DÁRIO PIRIS FERNANDEZ;(Grande-Oficial)
Senhora;SANDRA MARIANI PAPAIORDANOU;(Cavaleiro)
Cel Av;SANDRO BENEDET;(Cavaleiro)
SO QSS BET;SERGIO CAETANO JUNIOR;(Cavaleiro)
Gen Ex;SÉRGIO DA COSTA NEGRAES;(Grande-Oficial)
C Alte (IM);SERGIO HENRIQUE DA SILVA ALMEIDA;(Comendador)
Senhor;SÉRGIO JOSÉ AMÉRICO PEDREIRA;(Cavaleiro)
