ORD;QUALIFICAÇÃO;AGRACIADO;PORTARIA;DATA
12746;Suboficial QSS SOB;Mário Marques Trilha Filho;091/SCC;20/01/1980
12747;Suboficial QSS SAD;Mário Mascaro Salera;931/SCC;12/12/1989
12748;Suboficial QSS BET;Mario Migliori;204/SC;22/02/2005
12749;Capitão QOEA;Mário Mituru Harami;1057/SCC;20/12/1985
12750;Senhor;Mário Monteiro da Silva Filho;107/SC;25/02/2010
12751;Primeiro-Sargento QSS SML;Mário Moreira Bueno;091/SCC;20/01/1980
12752;Capitão QOEA;Mário Nakamura;1172/SCC;15/12/1987
12753;Terceiro-Sargento QESA SAD;Mario Nazário da Silva;160/SCC;16/03/1994
12754;Cabo QCB SOB;Mario Pedro Lobato Santos;100/SCC;20/02/1997
12755;Primeiro-Sargento QSS BMA;Mário Rauda Kaliffe;110/SCC;28/01/1980
12756;Suboficial QSS BMB;Mario Rodrigues dos Santos;204/SC;22/02/2005
12757;Suboficial QSS BCO;Mário Sabino dos Santos;931/SCC;12/12/1989
12758;Suboficial QSS BMA;Mario Sadao Takeuti;193/SCC;20/02/1995
12759;Suboficial QSS SAD;Mário Seabra Bastos;051/SCC;26/02/1993
12760;Taifeiro-Mor QTA TAR;Mário Sérgio Ferreira Alves;113/SC;22/02/2001
12761;Suboficial QSS BCT;Mario Sergio Ferreira de Souza;107/SC;25/02/2009
12762;Segundo-Sargento QSS SAI;Mario Sergio Garcia Alves;6/SCGC;08/01/2018
12763;Suboficial QSS BCT;Mário Sergio Mendes de Oliveira;160/SCC;16/03/1994
12764;Primeiro-Sargento QSS BMA;Mario Sergio Narciso de Souza;193/SCC;20/02/1995
12765;Suboficial QSS BMB;Mário Sérgio Veras;870/SCC;20/12/1991
12766;Segundo-Sargento QSS SMU;Mário Sidney Da Silva;1.659/SCGC;21/12/2016
12767;Suboficial QSS BMA;Mario Souto Simões;107/SC;25/02/2009
12768;Senhor;Mario Tadeu Cordeiro de Souza;193/SCC;20/02/1995
12769;Suboficial QSS BMA;Mario Torres Benedito;130/SCGC;03/02/2014
12770;Senhor;Mario Valério Garcia Guimarães;80/SC;26/02/2008
12771;Suboficial QSS SGS;Mário Vicente Veríssimo da Silva;204/SC;22/02/2005
12772;Primeiro-Sargento QSS BCO;Mário Yutaka Guenka;091/SCC;20/01/1980
12773;Senhora;Marisa Alonso do Nascimento Olimpio;130/SCGC;03/02/2014
12774;Suboficial;Marisa Chiquim Costa;130/SCGC;03/02/2014
12775;Senhora;Marisa Coelho Mattos Rocha;90/SCC;22/02/1999
12776;Senhora;Marisella Ciccarelli;58/SC;14/02/2012
12777;Suboficial QSS BET;Marissecks Teixeira;051/SCC;26/02/1993
12778;Senhora;Maristela Fátima Cembranel;141/SC;19/02/2002
12779;Senhora;Maristela Ferreira da Silva;189/SC;07/02/2013
12780;Suboficial SAD;Maristela Longaray Mazim;81/SC;07/02/2011
12781;Segundo-Sargento QSS SAD;Mariucha Magalhães Cavalcante da Silva;2/SCGC;06/01/2020
12782;Senhora;Mariuza Viola Ferreira;160/SCC;16/03/1994
12783;Segundo-Tenente QOEA;Marival José Raimundo;047/SCC;20/01/1981
12784;Suboficial QSS SAD;Marivalde Silva de Mendonça;047/SCC;20/01/1981
12785;Cabo QCB SAD;Marivaldo Costa Bezerra;870/SCC;20/12/1991
12786;Suboficial;Marivaldo dos Santos Silva;048/SCC;18/01/1996
12787;Suboficial (ET);Marivaldo Lopes de Arruda;130/SCGC;03/02/2014
12788;Doutor;Marivaldo Romão Gomes;870/SCC;20/12/1991
12789;Senhora;Marivone Farias Lins;048/SCC;18/01/1996
12790;Senhora;Mariza Gomes Soares;116/SCC;20/01/1984
12791;Suboficial QFG SAD;Marizene Delfino da Silva;247/SC;06/03/2006
12792;Terceiro-Sargento QC (DT);Markene de Souza;047/SCC;20/01/1981
12793;Terceiro-Sargento QESA SEM;Marlei de Campos;141/SC;19/02/2002
12794;Senhora;Marlei Messias da Costa;100/SCC;20/02/1997
12795;Senhora;Marlene da Silva;98/SCC;18/02/1998
12796;Senhora;Marlene de Almeida Fernandes;90/SCC;22/02/1999
12797;Senhora;Marlene Ferreira de Souza;141/SC;19/02/2002
12798;Senhora;Marlene Moraes;29/SCGC;29/01/2016
12799;Senhora;Marlene Olórtegui Alban;092/SCC;20/01/1982
12800;Senhora;Marlene Rodrigues Fernandes;1172/SCC;15/12/1987
12801;Senhora;Marlene Souza Costa;130/SCGC;03/02/2014
12802;Senhora;Marlene Vasconcellos da Silva;100/SCC;20/02/1997
12803;Suboficial QSS BEI;Marleon Martins Linhares;841/SCC;01/12/1988
12804;Suboficial QSS SDE;Marles Albérico de Medeiros;841/SCC;01/12/1988
12805;Senhora;Marlette Castro de Almeida Cruz;1172/SCC;15/12/1987
12806;Senhora;Marli Barbosa Rodrigues;100/SCC;20/02/1997
12807;Senhora;Marli Barcelos Teixeira;100/SCC;20/02/1997
12808;Primeiro-Sargento QFG SAD;Marli de Oliveira Moura;141/SC;19/02/2002
12809;Senhora;Marli de Souza Spinola;1194/SCC;15/12/1986
12810;Senhora;Marli Maciel Machado;81/SC;07/02/2011
12811;Segundo-Sargento (ES);Marlon Anderson dos Santos;80/SC;26/02/2008
12812;Terceiro-Sargento QSS SAD;Marlon Antônio Alves;182/SCGC;18/02/2015
12813;Terceiro-Sargento QESA SAD;Marlon Galvão Moreira;051/SCC;26/02/1993
12814;Senhor;Marlon Henrique Nunes de Souza;29/SCGC;29/01/2016
12815;Taifeiro de Segunda Classe QTA TAR;Marlon Willams Nunes de Almeida;931/SCC;12/12/1989
12816;Primeiro-Sargento QSS BMA;Marlos Auderi Silva Bispo;130/SCGC;03/02/2014
12817;Primeiro-Sargento QSS BCT;Marlos Miranda Alves;80/SC;26/02/2008
12818;Suboficial QFG SEF;Marluce de Azevedo Baptista;106/SC;21/02/2007
12819;Suboficial STO;Marly Barbosa Dias;81/SC;07/02/2011
12820;Senhora;Marly Barbosa Rodrigues;1172/SCC;15/12/1987
12821;Primeiro-Sargento SEF;Marly de Souza;107/SC;25/02/2010
12822;Senhora;Marly de Souza Ribeiro;141/SC;19/02/2002
12823;Senhora;Marly Marques dos Santos;931/SCC;12/12/1989
12824;Suboficial QFG SEF;Marly Terezinha Voidelo Bueno;107/SC;25/02/2009
12825;Segundo-Sargento QSS SAD;Marney de Sousa Ferreira;29/SCGC;29/01/2016
12826;Suboficial QSS BCO;Marques James Menezes;1.659/SCGC;21/12/2016
12827;Terceiro-Sargento QESA SEL;Marson Ferreira Silva;1.659/SCGC;21/12/2016
12828;Senhora;Marta Bruno da Costa;113/SCC;28/02/2000
12829;Senhora;Marta Cardoso Gouveia;968-A/SCC;14/12/1990
12830;Suboficial QFG SAD;Marta de Medeiros Moreira;202/SC;18/02/2004
12831;Senhora;Marta Estela Lanzoni Lopes Cardoso;051/SCC;26/02/1993
12832;Suboficial QFG SAD;Marta Fernandes de Araujo Melchiors;106/SC;21/02/2007
12833;Senhora;Marta Maria de Freitas Oliveira;100/SCC;20/02/1997
12834;Senhora;Marta Maria Ribeiro Gonçalves;113/SCC;28/02/2000
12835;Suboficial QFG SEF;Marta Pareto Machado De Oliveira;1.659/SCGC;21/12/2016
12836;Senhora;Marta Pessanha Izabel Rosa;107/SC;25/02/2010
12837;Senhora;Marta Regina D'Almeida;81/SC;07/02/2011
12838;Senhora;Marta Rodrigues Fonseca;204/SC;22/02/2005
12839;Senhora;Martha Liduina Souza Ribeiro;113/SCC;28/02/2000
12840;Senhora;Martha Maria Soares Paes de Andrade;1194/SCC;15/12/1986
12841;Suboficial QFG SAD;Martha Valéria Coppa Gomes;106/SC;21/02/2007
12842;Senhor;Martín Maurício Aragón Malaver;107/SC;25/02/2010
12843;Senhora;Martinha Zenaide Mendes Coimbra;047/SCC;20/01/1981
12844;Suboficial QSS SGS;Martinho Alves de Almeida;116/SCC;20/01/1984
12845;Primeiro-Tenente QOEA;Martinho Fukuoca;1172/SCC;15/12/1987
12846;Capitão QOEA MET ;Martinho José Inácio Prujá;98/SCC;18/02/1998
12847;Primeiro-Tenente QOEA;Martiniano Dias Branco;1813/SCC;20/12/1984
12848;Primeiro-Sargento QSS SML;Martiniano José da Silva Junior;189/SC;07/02/2013
12849;Suboficial QSS BSP;Martiniano Moreira Brandão;113/SC;22/02/2001
12850;Suboficial QSS BMA;Martins Pereira da Silva Junior;161/SC;21/02/2003
12851;Senhora;Mary Peres Prando;90/SCC;22/02/1999
12852;Suboficial QSS BEI;Masacazu Sato;1813/SCC;20/12/1984
12853;Suboficial QSS BMA;Masaru Onoda;193/SCC;20/02/1995
12854;Segundo-Sargento QSS SAD;Massakatu Kudamatzu;1057/SCC;20/12/1985
12855;Suboficial QSS BMA;Massao Miyabukuro;98/SCC;18/02/1998
12856;Suboficial QSS BMA;Massatoshi Maeno;091/SCC;20/01/1980
12857;Senhor;Mateus Lovatel Matias;2/SCGC;06/01/2020
12858;Suboficial QSS BCT;Matheus Peixoto;1194/SCC;15/12/1986
12859;Primeiro-Tenente QOEA;Matias Caterna;1194/SCC;15/12/1986
12860;Segundo-Sargento QSS BFT;Matias Soccol;6/SCGC;08/01/2018
12861;Capitão QOEA;Maudo Antônio Rockembach;968-A/SCC;14/12/1990
12862;Senhor;Maurelene de Souza;160/SCC;16/03/1994
12863;Suboficial QSS BMA;Mauri Alves da Costa;113/SC;22/02/2001
12864;Suboficial QSS BMA;Mauri Januário de Assis;870/SCC;20/12/1991
12865;Suboficial QSS BMA;Mauri Menezes;247/SC;06/03/2006
12866;Senhor;Mauri Rosa da Silva;6/SCGC;08/01/2018
12867;Taifeiro de Primeira Classe QTA TCO;Mauricio Alves Cajá;160/SCC;16/03/1994
12868;Suboficial (OR);Maurício Alves dos Santos;58/SC;14/02/2012
12869;Cabo QCB SAD;Maurício Amorim Monteiro;113/SC;22/02/2001
12870;Primeiro-Sargento QSS SGS;Mauricio Barra Rosa;107/SC;25/02/2010
12871;Taifeiro-Mor QTA TAR;Maurício Barroso Acácio;113/SC;22/02/2001
12872;Suboficial QSS BMA;Maurício Castelo Branco de Miranda;202/SC;18/02/2004
12873;Suboficial QSS SEL;Mauricio Cesar da Silva;107/SC;25/02/2009
12874;Segundo-Tenente QOEA SVE;Maurício Correia de Barros;106/SC;21/02/2007
12875;Suboficial QSS BMA;Maurício Costa Nery da Silva;106/SC;21/02/2007
12876;Segundo-Sargento QSS SAD;Maurício da Conceição Paulucci;113/SC;22/02/2001
12877;Senhor;Maurício da Costa Vilhena;202/SC;18/02/2004
12878;Suboficial QSS BMA;Mauricio da Silva de Castro;204/SC;22/02/2005
12879;Suboficial QSS BMA;Maurício da Silva Gaignoux;160/SCC;16/03/1994
12880;Suboficial QSS BSP;Maurício de Lima;100/SCC;20/02/1997
12881;Primeiro-Sargento QSS BEP;Mauricio de Moraes Nascimento;58/SC;14/02/2012
12882;Primeiro-Sargento QSS BEI;Mauricio De Navasquez;1.659/SCGC;21/12/2016
12883;Terceiro-Sargento QESA SAD;Maurício Dias;160/SCC;16/03/1994
12884;Suboficial QSS BEI;Mauricio Diniz Smith;2/SCGC;06/01/2020
12885;Cabo QCB SAD;Maurício do Carmo Brasil;841/SCC;01/12/1988
12886;Suboficial QSS BEV;Maurício do Nascimento Souza;968-A/SCC;14/12/1990
12887;Suboficial (ES);Maurício dos Santos Toledo;130/SCGC;03/02/2014
12888;Suboficial QSS BMA;Maurício Eduardo Alves dos Santos;161/SC;21/02/2003
12889;Suboficial QSS BMA;Maurício Eduardo Weitzel;113/SC;22/02/2001
12890;Primeiro-Sargento QSS SML;Maurício Fernandes Pereira;048/SCC;18/01/1996
12891;Suboficial QSS SAD;Maurício Gechele Cleto;870/SCC;20/12/1991
12892;Primeiro-Sargento QSS SAD;Mauricio George Rosa Lima Da Silva;1.659/SCGC;21/12/2016
12893;Suboficial QSS BMA;Maurício Inácio da Silva;247/SC;06/03/2006
12894;Suboficial QSS SAD;Maurício José Alves;1194/SCC;15/12/1986
12895;Senhor;Mauricio Jose Bastos;1.659/SCGC;21/12/2016
12896;Primeiro-Sargento QSS BEI;Mauricio José da Silva;29/SCGC;29/01/2016
12897;Senhor;Mauricio Leitão Pimentel;161/SC;21/02/2003
12898;Cabo QCB SEM;Maurício Lima Costa;90/SCC;22/02/1999
12899;Cabo (ES);Mauricio Lopes Hernandes;130/SCGC;03/02/2014
12900;Suboficial BMA;Mauricio Machado de Magalhães;80/SC;26/02/2008
12901;Segundo-Sargento QSS SEM;Mauricio Martins Pereira;29/SCGC;29/01/2016
12902;Suboficial QSS SDE;Maurício Martins Soares;189/SC;07/02/2013
12903;Suboficial QSS BFT;Mauricio Morais Pimenta;247/SC;06/03/2006
12904;Suboficial QSS BMA;Mauricio Nova;189/SC;07/02/2013
12905;Senhor;Maurício Orsi Zivianni;130/SCGC;03/02/2014
12906;Suboficial QSS BSP;Mauricio Pereira Barreto;189/SC;07/02/2013
12907;Suboficial QSS BMA;Maurício Pereira dos Santos;160/SCC;16/03/1994
12908;Suboficial (AV-VN);Mauricio Pinto Guedes Calandrini;189/SC;07/02/2013
12909;Suboficial QSS BEV;Maurício Reis Martins;90/SCC;22/02/1999
12910;Senhor;Maurício Smelstein (PoSubtenente Mortem);1.659/SCGC;21/12/2016
12911;Subtenente de Infantaria;Mauricio Sousa Gomes de Oliveira;130/SCGC;03/02/2014
12912;Suboficial QSS BET;Maurício Wamburg da Silva;160/SCC;16/03/1994
12913;Suboficial QSS BEI;Maurilei Queiroz Corrêa;58/SC;14/02/2012
12914;Suboficial QSS BET;Maurílio Anselmo;086/SCC;20/01/1983
12915;Senhor;Maurílio Bernardo da Silva;870/SCC;20/12/1991
12916;Suboficial QSS BFT;Maurílio Cardoso;113/SCC;28/02/2000
12917;Primeiro-Sargento QSS BCO;Maurilio Da Conceição Bayma Junior;1.659/SCGC;21/12/2016
12918;Suboficial BCO;Maurilio Pereira da Silva;80/SC;26/02/2008
12919;Suboficial QSS SMU;Maurilio Zampieri Cristófano Junior;189/SC;07/02/2013
12920;Segundo-Sargento SAD;Maurinaldo Pereira da Silva Filho;80/SC;26/02/2008
12921;Primeiro-Sargento QSS BEI;Maurino Antônio da Silva;051/SCC;26/02/1993
12922;Terceiro-Sargento QSS SAD;Maurisan Bert Pereira;106/SC;21/02/2007
12923;Suboficial SMU;Mauro Air Garcia;107/SC;25/02/2010
12924;Senhor;Mauro Alfredo Costa Bicudo de Castro;90/SCC;22/02/1999
12925;Suboficial QSS BFT;Mauro Alves de Araújo;98/SCC;18/02/1998
12926;Suboficial (AV-MV);Mauro Antonio Gomes dos Santos;10/SCGC;10/01/2019
12927;Suboficial QSS BMA;Mauro Antonio Soares dos Santos;160/SCC;16/03/1994
12928;Suboficial QSS SAD;Mauro Arantes Fortunato;98/SCC;18/02/1998
12929;Suboficial QSS SMU;Mauro Augusto Alves de Lima;130/SCGC;03/02/2014
12930;Cabo QCB SAD;Mauro Augusto de Araujo;98/SCC;18/02/1998
12931;Suboficial QSS BMA;Mauro Augusto Galinatti;107/SC;25/02/2009
12932;Cabo QCB SEM;Mauro Barreiros;048/SCC;18/01/1996
12933;Suboficial QSS BCO;Mauro Bergamini;086/SCC;20/01/1983
12934;Suboficial QSS SDE;Mauro Bomfim Espindola;141/SC;19/02/2002
12935;Suboficial QSS SOB;Mauro Calazans Maia;130/SCGC;03/02/2014
12936;Taifeiro-Mor QTA TAR;Mauro Castilho;116/SCC;20/01/1984
12937;Suboficial QSS SEL;Mauro Cesar Guedes de Moraes;107/SC;25/02/2009
12938;Primeiro-Sargento QSS BEV;Mauro César Soares Louzada;202/SC;18/02/2004
12939;Terceiro-Sargento;Mauro Cezar da Silva Lima;81/SC;07/02/2011
12940;Segundo-Sargento QSS SAD;Mauro Cordeiro Bastos;1194/SCC;15/12/1986
12941;Terceiro-Sargento QESA SDE;Mauro Costa Ruiz;1.659/SCGC;21/12/2016
12942;Primeiro-Sargento QSS BET;Mauro da Silva Reis;130/SCGC;03/02/2014
12943;Suboficial QSS STP;Mauro da Silva Salin;204/SC;22/02/2005
12944;Capitão QOEAV;Mauro da Silva Santos;141/SC;19/02/2002
12945;Suboficial QSS SAD;Mauro Damião da Silva Peixoto;106/SC;21/02/2007
12946;Senhor;Mauro Danilo Soares de Souza;116/SCC;20/01/1984
12947;Primeiro-Sargento BMA;Mauro de Jesus Rosa;81/SC;07/02/2011
12948;Cabo QCB BSP;Mauro de Melo Duarte Barbosa;90/SCC;22/02/1999
12949;Suboficial QSS BMA;Mauro de Oliveira;1057/SCC;20/12/1985
12950;Suboficial QSS BMA;Mauro Domingos;870/SCC;20/12/1991
12951;Taifeiro de Primeira Classe QTA TCO;Mauro dos Santos Couto;051/SCC;26/02/1993
12952;Segundo-Sargento QSS BET;Mauro Evangelista da Silva;202/SC;18/02/2004
12953;Suboficial QSS BMA;Mauro Ferreira da Silva;107/SC;25/02/2009
12954;Suboficial QSS BMA ;Mauro Ferreira Gondim;202/SC;18/02/2004
12955;Suboficial QSS BMA;Mauro Gilberto de Oliveira;202/SC;18/02/2004
12956;Segundo-Tenente QOEA;Mauro Gomes de Azevedo;1172/SCC;15/12/1987
12957;Suboficial QSS BMA;Mauro Gomes de Moraes;870/SCC;20/12/1991
12958;Segundo-Sargento QSS BFT;Mauro José dos Reis Vicente;160/SCC;16/03/1994
12959;Capitão QOEA;Mauro José Fernandes;931/SCC;12/12/1989
12960;Taifeiro de Primeira Classe QTA TAR;Mauro José Vilarinho;047/SCC;20/01/1981
12961;Terceiro-Sargento SEM;Mauro Loureiro de Barros;80/SC;26/02/2008
12962;Cabo QCB SEM;Mauro Luiz da Silva;202/SC;18/02/2004
12963;Suboficial QSS SAI;Mauro Luiz de Souza Elias;130/SCGC;03/02/2014
12964;Terceiro-Sargento QESA SEM;Mauro Manoel de Farias;189/SC;07/02/2013
12965;Senhor;Mauro Marcondes;98/SCC;18/02/1998
12966;Senhor;Mauro Martins;048/SCC;18/01/1996
12967;Primeiro-Sargento QSS BMA;Mauro Menezes;870/SCC;20/12/1991
12968;Suboficial QSS BSP;Mauro Moreira da Costa;931/SCC;12/12/1989
12969;Segundo-Sargento QSS SMU;Mauro Nogueira Aguiar;1813/SCC;20/12/1984
12970;Primeiro-Sargento QSS BMA;Mauro Nunes de Souza;189/SC;07/02/2013
12971;Suboficial QSS SAD;Mauro Olintho Moretti;870/SCC;20/12/1991
12972;Terceiro-Sargento QESA BEP;Mauro Pereira Moreira;051/SCC;26/02/1993
12973;Suboficial QSS BET;Mauro Pires Paulo;247/SC;06/03/2006
12974;Primeiro-Sargento QSS SEM;Mauro Ribeiro da Silva;116/SCC;20/01/1984
12975;Suboficial QSS BMA;Mauro Ricardo Marmello do Valle;106/SC;21/02/2007
12976;Primeiro-Sargento QSS SGS;Mauro Roberto da Costa;113/SC;22/02/2001
12977;Terceiro-Sargento QESA SAD;Mauro Roberto Gomes dos Santos;6/SCGC;08/01/2018
12978;Primeiro-Sargento QSS SAD;Mauro Robson Resende Sales;161/SC;21/02/2003
12979;Suboficial BEI;Mauro Santos Carvalho;81/SC;07/02/2011
12980;Suboficial QSS SAI;Mauro Sergio Alamar De Sousa;1.659/SCGC;21/12/2016
12981;Suboficial QSS BET;Mauro Sérgio dos Santos Rocha;160/SCC;16/03/1994
12982;Primeiro-Sargento QSS SEF;Mauro Sirnes de Castro;107/SC;25/02/2009
12983;Suboficial QSS BMA;Mauro Soares da Silva;1172/SCC;15/12/1987
12984;Suboficial QSS BCT;Mauro Souza;1813/SCC;20/12/1984
12985;Terceiro-Sargento QESA SAD;Mauro Telles Pontes;98/SCC;18/02/1998
12986;Primeiro-Sargento QSS SAD;Mauro Toyama;1057/SCC;20/12/1985
12987;Suboficial QSS BEP;Maury Pimentel da Silva;189/SC;07/02/2013
12988;Senhor;Max Buhler;931/SCC;12/12/1989
12989;Suboficial QSS SAD;Max de Morais Santos;931/SCC;12/12/1989
12990;Suboficial SAD;Max Filli Barbosa de Melo;107/SC;25/02/2010
12991;Suboficial QSS SAD;Max José dos Anjos Ferreira;051/SCC;26/02/1993
12992;Segundo-Sargento QSS SAD;Max Luis da Silva Ramos;10/SCGC;10/01/2019
12993;Segundo-Sargento SAD;Max Luís do Nascimento Varela;107/SC;25/02/2010
12994;Primeiro-Tenente QOEA GDS;Max Nunes;245/SC;13/03/2003
12995;Suboficial QSS BMA;Max Weber Schultz;202/SC;18/02/2004
12996;Suboficial QSS BET;Maxileno Jaime de Souza Vilar;130/SCGC;03/02/2014
12997;Senhor;Maximiano Fernandes Pinto;091/SCC;20/01/1980
12998;Terceiro-Sargento QSS BMA;Maximiano José dos Santos Filho;160/SCC;16/03/1994
12999;Terceiro-Sargento de Infantaria;Maximiano Rodrigues Santana;80/SC;26/02/2008
13000;Cabo QCB SAD;Maximiliano Ribeiro Guimarães;113/SCC;28/02/2000
13001;Suboficial BET;Maximiliano Villarinho de Araújo;80/SC;26/02/2008
13002;Suboficial QSS BEI;Maximinio Pereira da Silva Regio;2/SCGC;06/01/2020
13003;Suboficial QSS BMA;Máximo Flávio de Paula Santos;047/SCC;20/01/1981
13004;Suboficial QSS BMA;Máximo Ribeiro de Souza;141/SC;19/02/2002
13005;Suboficial SAD;Maxwell da Silva;80/SC;26/02/2008
13006;Segundo-Sargento QSS SDE;Maxwell de Oliveira;58/SC;14/02/2012
13007;Segundo-Sargento QSS SIN;Maykoll Telles Pereira;182/SCGC;18/02/2015
13008;Subtenente de Intendência;Mazio Sousa Pinto;10/SCGC;10/01/2019
13009;Primeiro-Sargento QFG SAD;Meire Moreira Lima;161/SC;21/02/2003
13010;Senhora;Meirilene Costa Beserra;161/SC;21/02/2003
13011;Suboficial QSS BSP;Melchizedec Ramos da Costa;968-A/SCC;14/12/1990
13012;Capitão QOEA SVM;Melquíades Pereira da Silva;160/SCC;16/03/1994
13013;Suboficial (PL);Melquisedec Silva Moura;1.659/SCGC;21/12/2016
13014;Suboficial BEI;Melquisedeque da Silva Bomfim;81/SC;07/02/2011
13015;Terceiro-Sargento QESA SAD;Mendonça Oliveira dos Santos;106/SC;21/02/2007
13016;Suboficial QSS BCT;Menotti Facchina Neto;98/SCC;18/02/1998
13017;Senhora;Mercedes Amália Favagrossa;1813/SCC;20/12/1984
13018;Capitão QOEA SVA;Merces Ribeiro de Araújo;193/SCC;20/02/1995
13019;Senhora;Mercia Aparecida dos Santos;6/SCGC;08/01/2018
13020;Suboficial QSS SEF;Merival Malta Souza;116/SCC;20/01/1984
13021;Senhora;Merle Sandra Rizzo;086/SCC;20/01/1983
13022;Senhor;Messias Corrêa da Costa;047/SCC;20/01/1981
13023;Suboficial QSS SGS;Messias de Oliveira Amorim;29/SCGC;29/01/2016
13024;Senhor;Messias dos Santos;6/SCGC;08/01/2018
13025;Suboficial QSS SAD;Messias Liberato Rodrigues;202/SC;18/02/2004
13026;Terceiro-Sargento QE ;Messias Martins da Silva;107/SC;25/02/2009
13027;Subtenente de Infantaria;Messias Sant’ana Dias;182/SCGC;18/02/2015
13028;Suboficial QSS SGS;Meyr Mauro Losque;193/SCC;20/02/1995
13029;Segundo-Sargento QTA TAR;Michael Franca Cabral;6/SCGC;08/01/2018
13030;Segundo-Sargento QSS SGS;Michel Anderson Adão Ribeiro;189/SC;07/02/2013
13031;Segundo-Sargento QSS BMA;Michel da Silva Soares;130/SCGC;03/02/2014
13032;Segundo-Sargento QSS SIN;Michel dos Santos Rodrigues;2/SCGC;06/01/2020
13033;Primeiro-Sargento QSS BEV;Michel Robson Monteiro Da Silva;1.659/SCGC;21/12/2016
13034;Segundo-Sargento QSS BEI;Michel Stencel da Silva;107/SC;25/02/2009
13035;Suboficial QSS SOB;Michell Regis de Oliveira;130/SCGC;03/02/2014
13036;Senhora;Michelle Freire Pereira;10/SCGC;10/01/2019
13037;Segundo-Sargento QSS SAD;Michelle Paula Silva Pereira;1.659/SCGC;21/12/2016
13038;Suboficial QSS BSP;Miguel Alênio Leite de Oliveira;130/SCGC;03/02/2014
13039;Primeiro-Sargento QSS SAD;Miguel Alves de Souza;90/SCC;22/02/1999
13040;Segundo-Sargento;Miguel Angel Alcántara González (Espanha);2/SCGC;06/01/2020
13041;Suboficial QSS BEI;Miguel Angelo de Barros Badú;106/SC;21/02/2007
13042;Senhor;Miguel Ângelo Rodeguero;80/SC;26/02/2008
13043;Terceiro-Sargento QESA SEM;Miguel Antônio Ferreira Dornelas;051/SCC;26/02/1993
13044;Senhor;Miguel Antonio Mezones Huerta;58/SC;14/02/2012
13045;Suboficial QSS BEI;Miguel Antonio Sanchez;193/SCC;20/02/1995
13046;Suboficial QSS BCT;Miguel Antônio Tartare;98/SCC;18/02/1998
13047;Suboficial QSS BMA;Miguel Arcanjo Carvalho Aranha;113/SCC;28/02/2000
13048;Suboficial QSS SGS;Miguel Arcanjo de Oliveira Sales;58/SC;14/02/2012
13049;Suboficial QSS BEP;Miguel Arcanjo Dias de Souza;58/SC;14/02/2012
13050;Suboficial QSS BCT;Miguel Berbel Martos;870/SCC;20/12/1991
13051;Suboficial QSS BCT;Miguel Carlos Nicodemus;051/SCC;26/02/1993
13052;Suboficial QSS SAD;Miguel Corrêa Leite;047/SCC;20/01/1981
13053;Senhor;Miguel de Araújo Santos;092/SCC;20/01/1982
13054;Cabo QCB SEM;Miguel de Farias Torres;193/SCC;20/02/1995
13055;Primeiro-Sargento QSS SAD;Miguel de Jesus da Silva;161/SC;21/02/2003
13056;Primeiro-Sargento QSS SGS;Miguel de Sousa Barbosa Filho;107/SC;25/02/2010
13057;Suboficial QSS BCO;Miguel Emídio dos Santos;1057/SCC;20/12/1985
13058;Suboficial QSS SPV ;Miguel Fernando Santiago Gonçalves;968-A/SCC;14/12/1990
13059;Primeiro-Sargento QSS BET;Miguel Garcia De Medeiros;1.659/SCGC;21/12/2016
13060;Primeiro-Sargento QSS SEL;Miguel Gustavo Moraes Lima;1.659/SCGC;21/12/2016
13061;Senhor;Miguel José Pinto;051/SCC;26/02/1993
13062;Suboficial QSS BMA;Miguel Marinho da Silva;086/SCC;20/01/1983
13063;Taifeiro de Primeira Classe QTA TAR;Miguel Mendes de Souza;193/SCC;20/02/1995
13064;Suboficial QSS SMU;Miguel Pereira;086/SCC;20/01/1983
13065;Primeiro-Sargento QSS SAD;Miguel Ribeiro Borges;1057/SCC;20/12/1985
13066;Senhor;Miguel Ribeiro do Amaral;1172/SCC;15/12/1987
13067;Suboficial QSS BCO;Miguel Rodrigues de Santiago;100/SCC;20/02/1997
13068;Segundo-Sargento QSS BSP;Miguel Sales Pereira Veras;1057/SCC;20/12/1985
13069;Cabo QCB BEP;Miguel Vasconcelos Veras;113/SC;22/02/2001
13070;Suboficial QSS BMT;Mikazu Kurokawa;968-A/SCC;14/12/1990
13071;Senhora;Mikiko Yasuda;247/SC;06/03/2006
13072;Primeiro-Sargento QSS SAD;Milene Cristina de Souza dos Santos;2/SCGC;06/01/2020
13073;Suboficial QSS BCO;Milson José Ananias Alves da Silva;80/SC;26/02/2008
13074;Suboficial QSS SEL;Milson Roberto da Silva;161/SC;21/02/2003
13075;Taifeiro-Mor QTA TAR;Mílton Cândido de Brito;091/SCC;20/01/1980
13076;Suboficial QSS BMA;Milton Cardoso de Lima;100/SCC;20/02/1997
13077;Suboficial QSS BEI;Milton Carlos Rodrigues de Oliveira;091/SCC;20/01/1980
13078;Suboficial QSS SEM;Milton Caropreso;047/SCC;20/01/1981
13079;Suboficial QSS SAD;Milton Cesar da Silveira;247/SC;06/03/2006
13080;Segundo-Sargento QSS SAD;Milton Cesar de Abreu;107/SC;25/02/2009
13081;Primeiro-Sargento QSS SGS;Milton Cesar Stefanello;6/SCGC;08/01/2018
13082;Primeiro-Sargento QSS SDE;Milton Cezar Couto;182/SCGC;18/02/2015
