ORD;QUALIFICAÇÃO;AGRACIADO;PORTARIA;DATA
3524;Primeiro-Sargento QSS BMA;Cláudio Wilson Martineli;1.659/SCGC;21/12/2016
3525;Primeiro-Tenente QOEA ;Claudiomar da Silva Faleiro;98/SCC;18/02/1998
3526;Primeiro-Sargento QSS BMA;Claudiomar do Nascimento;107/SC;25/02/2009
3527;Suboficial QSS SEF;Claudiomir Nascimento dos Santos;160/SCC;16/03/1994
3528;Suboficial QSS SMU;Claudione Marques de Lacerda;2/SCGC;06/01/2020
3529;Terceiro-Sargento QESA SAD;Claudionor Brasil Pereira da Silva;106/SC;21/02/2007
3530;Terceiro-Sargento QSS STA;Claudionor Colares Pereira;841/SCC;01/12/1988
3531;Suboficial QSS BCO;Claudionor de Souza Romacho;2/SCGC;06/01/2020
3532;Senhor;Claudionor do Nascimento Lucas;091/SCC;20/01/1980
3533;Primeiro-Sargento QSS BSP;Claudionor Francisco Xavier;113/SC;22/02/2001
3534;Suboficial QSS SAD;Claudionor Jaime Costa Bittencourt;092/SCC;20/01/1982
3535;Taifeiro-Mor QTA TAR;Claudionor José dos Santos;086/SCC;20/01/1983
3536;Cabo QCB SEM;Claudionor Maria de Jesus;160/SCC;16/03/1994
3537;Suboficial QSS SMU;Claudir de Oliveira;841/SCC;01/12/1988
3538;Suboficial QSS BSP;Claudir Mattana;048/SCC;18/01/1996
3539;Suboficial SAI;Claudius Sany Soares Cardoso;81/SC;07/02/2011
3540;Taifeiro-Mor QTA TAF;Claudomiro dos Santos;160/SCC;16/03/1994
3541;Suboficial QSS SML;Claudomiro Santos da Silva;160/SCC;16/03/1994
3542;Suboficial QSS BMA;Clauir da Silva Colpes;193/SCC;20/02/1995
3543;Terceiro-Sargento QESA SAD;Cláurio Diones de Souza;98/SCC;18/02/1998
3544;Suboficial BCT;Clay Cardoso;81/SC;07/02/2011
3545;Terceiro-Sargento QE;Clayton Cavalheiro do Amaral;29/SCGC;29/01/2016
3546;Suboficial QSS SOB;Clayton Cesar Coelho;107/SC;25/02/2009
3547;Primeiro-Sargento QSS BMA;Clayton Cesar Leão Satinnam;1.659/SCGC;21/12/2016
3548;Suboficial QSS BET;Clayton Corrêa Alves;2/SCGC;06/01/2020
3549;Cabo QCB BET;Clayton de Freitas Vera;189/SC;07/02/2013
3550;Segundo-Sargento QSS SGS;Clayton de Lima Bastos;29/SCGC;29/01/2016
3551;Senhor;Clayton de Sousa Amorim;29/SCGC;29/01/2016
3552;Subtenente de Infantaria;Clayton Ferreira França Vargas;2/SCGC;06/01/2020
3553;Cabo QCB SGS;Clayton Luiz Valt;141/SC;19/02/2002
3554;Doutora;Cléa Procópio Mariano;870/SCC;20/12/1991
3555;Primeiro-Tenente QOEA;Cleano Lima Alves;870/SCC;20/12/1991
3556;Primeiro-Sargento QSS SAD;Cleber Alves da Silva;10/SCGC;10/01/2019
3557;Segundo-Sargento QSS SIN;Cleber Aparecido Moriano;2/SCGC;06/01/2020
3558;Suboficial QSS BEV;Cleber Barbosa de Carvalho;130/SCGC;03/02/2014
3559;Primeiro-Sargento QSS SGS;Cleber Da Silva Gomes;1.659/SCGC;21/12/2016
3560;Suboficial QSS BEI;Cleber da Silva Rosa;58/SC;14/02/2012
3561;Suboficial QSS SAD;Cléber de Britto Peres;113/SCC;28/02/2000
3562;Suboficial QSS BET;Cleber de Carvalho;106/SC;21/02/2007
3563;Cabo QCB SAD;Cleber de Souza Ferreira;051/SCC;26/02/1993
3564;Cabo QCB SAD;Cleber de Souza Sobreira;113/SC;22/02/2001
3565;Suboficial BCO;Cleber Evalci da Silva Barros;80/SC;26/02/2008
3566;Suboficial BEI;Cléber Faustino da Silva;80/SC;26/02/2008
3567;Taifeiro-Mor QTA TVA;Cléber Freire Pereira Carvalho;113/SC;22/02/2001
3568;Suboficial QSS SAD;Cléber Gomes Brasil;047/SCC;20/01/1981
3569;Suboficial QSS SAD;Cleber José Pereira;107/SC;25/02/2009
3570;Primeiro-Sargento QSS BCO;Cleber Leite de Almeida;29/SCGC;29/01/2016
3571;Primeiro-Sargento QSS BET;Cleber Lima Rodrigues;29/SCGC;29/01/2016
3572;Primeiro-Sargento QSS SDE;Cleber Luis Correia;10/SCGC;10/01/2019
3573;Segundo-Tenente QOEA;Cleber Luiz Alves Vieira;193/SCC;20/02/1995
3574;Suboficial QSS BET;Cléber Mahlmann Muniz;092/SCC;20/01/1982
3575;Suboficial QSS BCO;Cleber Mendes de Lima;182/SCGC;18/02/2015
3576;Suboficial QSS BMA;Cleber Mitchell de Lima;58/SC;14/02/2012
3577;Subtenente de Infantaria;Cleber Moreira de Oliveira;58/SC;14/02/2012
3578;Suboficial QSS BMA;Cleber Natalicio Horta;193/SCC;20/02/1995
3579;Suboficial QSS SMU;Cleber Nogueira da Mota;189/SC;07/02/2013
3580;Capitão;Cléber Palmares Muniz;1194/SCC;15/12/1986
3581;Primeiro-Sargento QSS SEF;Cleber Paulino;6/SCGC;08/01/2018
3582;Segundo-Sargento QSS SAD;Cléber Ricardo Nascimento Bomfim;113/SC;22/02/2001
3583;Primeiro-Sargento SGS;Cleber Rocha Vieira;81/SC;07/02/2011
3584;Senhor;Cleber Rodrigues da Costa;10/SCGC;10/01/2019
3585;Suboficial SGS;Cleber Ross;107/SC;25/02/2010
3586;Suboficial QSS SAD;Cleber Santiago;100/SCC;20/02/1997
3587;Cabo (ES);Cleber Silva Gomes;1.659/SCGC;21/12/2016
3588;Terceiro-Sargento QC (DT);Cléber Soares de Castro e Silva;047/SCC;20/01/1981
3589;Suboficial QSS BEI;Cléber Weber de Faria;113/SCC;28/02/2000
3590;Suboficial QSS BCO;Clébio Miranda;1813/SCC;20/12/1984
3591;Cabo QCB SAD;Clécio Cleber de Oliveira;968-A/SCC;14/12/1990
3592;Suboficial QSS BCO;Clécio Lopes Moreno;086/SCC;20/01/1983
3593;Terceiro-Sargento QESA SGS;Cledimildo Pereira Nunes;968-A/SCC;14/12/1990
3594;Terceiro-Sargento QC (MR);Cledson de Castro;047/SCC;20/01/1981
3595;Senhora;Cléia Machado da Luz;107/SC;25/02/2009
3596;Terceiro-Sargento QESA SAD;Cleibe Luiz de Moura;870/SCC;20/12/1991
3597;Cabo QCB SAD;Cleiber Paulo Costa de Oliveira de Souza;107/SC;25/02/2010
3598;Primeiro-Sargento QSS SEF;Cleide da Silva Marques;130/SCGC;03/02/2014
3599;Senhora;Cleide de Andrade Gomes;247/SC;06/03/2006
3600;Senhora;Cleide de Mendonça Lacerda;1172/SCC;15/12/1987
3601;Primeiro-Sargento QFG SAD;Cleide Maria de Barros Calixto;107/SC;25/02/2009
3602;Suboficial QSS SEL;Cleide Nogueira Martins;160/SCC;16/03/1994
3603;Senhora;Cleide Simone Pereira da Silva;189/SC;07/02/2013
3604;Primeiro-Sargento QSS BEP;Cleilson Glauberto Mota da Silva;10/SCGC;10/01/2019
3605;Suboficial QSS BCT;Cleilton Nery Ferraz;204/SC;22/02/2005
3606;Terceiro-Sargento QSS SAD;Cleison Paulino Coelho dos Santos;29/SCGC;29/01/2016
3607;Terceiro-Sargento SAD;Cleiton de Lima e Silva;81/SC;07/02/2011
3608;Suboficial QSS SAD;Cleiton Nascimento Pessanha;182/SCGC;18/02/2015
3609;Cabo QCB SAD;Clélio Alves Rodrigues;58/SC;14/02/2012
3610;Terceiro-Sargento QSS SAD;Clélio Raimundo Moura Bezerra;113/SC;22/02/2001
3611;Suboficial QSS BMA;Clélio Roberto de Andrade Gonçalves;204/SC;22/02/2005
3612;Primeiro-Sargento QSS BMA;Clemar Jordão Gomes;092/SCC;20/01/1982
3613;Terceiro-Sargento QSCON TES;Clemilda Fernandes Silva;1.659/SCGC;21/12/2016
