QUALIFICAÇÃO;NOME;PORTARIA;DATA
Suboficial QSS BMA;Adelson Francisco Salles;204/SC;22/02/2005
Subtenente de Intendência;Adelson José Valentim;189/SC;07/02/2013
Suboficial QSS BMA;Adelson Luiz Jacobs;202/SC;18/02/2004
Suboficial QSS BMA;Adelvir Machado de Oliveira;051/SCC;26/02/1993
Segundo-Tenente QOEA SVA;Adelzon Antônio da Silva;202/SC;18/02/2004
Primeiro-Sargento QSS SAD;Ademar Artur de Freitas Cruz;106/SC;21/02/2007
Cabo QCB SGS;Ademar Avelino dos Santos;113/SCC;28/02/2000
Senhor;Ademar Custódio;051/SCC;26/02/1993
Suboficial QSS SGS;Ademar Freire dos Santos;086/SCC;20/01/1983
Primeiro-Sargento QSS BMT;Ademar Luiz Zanoto;160/SCC;16/03/1994
Senhor;Ademar Machado;047/SCC;20/01/1981
Primeiro-Sargento QSS SMU;Ademar Pereira da Silva;968-A/SCC;14/12/1990
Suboficial QSS BMA;Ademar Rasmussen;931/SCC;12/12/1989
Suboficial QSS BMA;Ademar Viana;100/SCC;20/02/1997
Senhor;Ademar Viturino Barreto;202/SC;18/02/2004
Suboficial QSS SAD;Ademésio Loio da Silva;90/SCC;22/02/1999
Primeiro-Sargento QSS SAD;Ademilson de Miranda Mesquita;092/SCC;20/01/1982
Suboficial QTA TCO;Ademilson Florencio da Silva;189/SC;07/02/2013
Primeiro-Sargento SAD;Ademilson Nicolino Moreira;80/SC;26/02/2008
Suboficial QSS BMA;Ademilton Ferreira Gomes;58/SC;14/02/2012
Suboficial QSS SEL;Ademilton Florêncio da Costa;100/SCC;20/02/1997
Terceiro-Sargento QSS SDE;Ademilton Silva de Oliveira;193/SCC;20/02/1995
Suboficial QSS SEL;Ademir Afonso de Oliveira;048/SCC;18/01/1996
Segundo-Sargento SMU;Ademir Amaral Borges;81/SC;07/02/2011
Primeiro-Sargento QSS BCO;Ademir Barros de Carvalho;189/SC;07/02/2013
Suboficial QSS BCO;Ademir Batista Rocha;931/SCC;12/12/1989
Suboficial QSS SAD;Ademir Carcabrini Pereira;048/SCC;18/01/1996
Senhor;Ademir Carvalho;100/SCC;20/02/1997
Suboficial QSS BMA;Ademir Carvalho Corrêa;100/SCC;20/02/1997
Suboficial QSS SOB;Ademir Cipriano Dias;160/SCC;16/03/1994
Suboficial QSS SEF;Ademir da Silva;113/SCC;28/02/2000
Senhor;Ademir da Silva Arruda;6/SCGC;08/01/2018
Suboficial QSS SAD;Ademir da Silva Ribeiro;092/SCC;20/01/1982
Suboficial QSS BMB;Ademir de Campos Mello;048/SCC;18/01/1996
Senhor;Ademir de Freitas Lima;189/SC;07/02/2013
Suboficial QSS SGS;Ademir de Souza Gonçalves;113/SC;22/02/2001
Segundo-Sargento QSS SAD;Ademir Evangelista de Farias;58/SC;14/02/2012
Suboficial QSS SGS;Ademir Faustino Alvarenga;98/SCC;18/02/1998
Suboficial QSS SAD;Ademir Ferreira da Silva;091/SCC;20/01/1980
Senhor;Ademir José de Menezes;80/SC;26/02/2008
Primeiro-Sargento SAD;Ademir José de Sousa Cerqueira;80/SC;26/02/2008
Senhor;Ademir Lopes Corrêa;1172/SCC;15/12/1987
Taifeiro-Mor QTA TAR;Ademir Marques Licht;051/SCC;26/02/1993
Taifeiro de Primeira Classe QTA TAR;Ademir Martins dos Santos;047/SCC;20/01/1981
Segundo-Sargento SAD;Ademir Máximo da Silva;107/SC;25/02/2010
Suboficial QSS BCO;Ademir Pereira da Cruz;107/SC;25/02/2009
Suboficial QSS BCO;Ademir Raimundo Ferreira de Figueiredo;113/SCC;28/02/2000
Suboficial QSS BSP;Ademir Rodrigues Quintão;968-A/SCC;14/12/1990
Senhor;Ademir Teixeira Monteiro;047/SCC;20/01/1981
Suboficial QSS BMA;Ademir Vieira de Azevedo;160/SCC;16/03/1994
Suboficial QSS BET;Adenauer de Lima Correa;90/SCC;22/02/1999
Senhora;Adenilde Cardoso dos Santos Silva;051/SCC;26/02/1993
Segundo-Sargento QSS BFT;Adenilson Farias Zanini;113/SC;22/02/2001
