QUALIFICAÇÃO;NOME;PORTARIA;DATA
Primeiro-Sargento QSS BET;Jean Frank Nélio de Oliveira;2/SCGC;43836
Primeiro-Sargento BFT;Jean Marcello de Oliveira Moretto;81/SC;40581
Primeiro-Sargento QSS SAD;Jean Max do Nascimento Fontes;189/SC;41312
Primeiro-Sargento QSS SEL;Jean Nycson Praseres Pereira;1.659/SCGC;42725
Suboficial QSS SAD;Jean Pierre Saraiva da Cunha;100/SCC;35481
Primeiro-Sargento QSS SAD;Jeanne de Andrade Robim Valle;130/SCGC;41673
Suboficial QFG SAD;Jeanne Lôbo de Mesquita Lima;182/SCGC;42053
Suboficial QFG SAD;Jeanne Schiess Ramos;204/SC;38405
Terceiro-Sargento QESA SAD;Jeberson Turato;98/SCC;35844
Suboficial QSS SMU;Jediael Pereira da Silva;2/SCGC;43836
Primeiro-Sargento QSS SAD;Jefer Bianchi Borges de Sousa;6/SCGC;43108
Suboficial QSS BCT;Jeferson Alves Noronha;10/SCGC;43475
Segundo-Sargento QSS SAD;Jeferson Carlos da Silva;202/SC;38035
Terceiro-Sargento QESA SAD;Jeferson Chamlet;113/SC;36944
Primeiro-Sargento BFT;Jeferson Genilson Salmi;80/SC;39504
Primeiro-Sargento QSS BET;Jeferson Henrique Loschi de Oliveira;182/SCGC;42053
Suboficial BMA;Jeferson Matos Cardoso;81/SC;40581
Suboficial QSS SAD;Jeferson Nogueira Dias;092/SCC;29971
Segundo-Sargento BMT;Jeferson Passos Pereira;81/SC;40581
Primeiro-Sargento QSS BEI;Jeferson Piazza da Silva;2/SCGC;43836
Primeiro-Sargento QSS SAD;Jeferson Siqueira da Silva;161/SC;37673
Suboficial QSS BEP;Jefferson Alves dos Santos;130/SCGC;41673
Segundo-Sargento SGS;Jefferson Alves Silveira;107/SC;40234
Senhor;Jefferson Barbosa Margato;10/SCGC;43475
Segundo-Sargento TAR;Jefferson da Silva;81/SC;40581
Suboficial QSS BEI;Jefferson de Jesus Gallo;6/SCGC;43108
Suboficial QSS BMA;Jefferson Fernandes Lima Fonseca;130/SCGC;41673
Terceiro-Sargento QSS SAD;Jefferson Gomes de Lima;130/SCGC;41673
Terceiro-Sargento QTA TAR;Jefferson José de Oliveira;130/SCGC;41673
Primeiro-Sargento de Cavalaria;Jefferson Luis da Silva Pereira;247/SC;38782
Suboficial QSS BCO;Jefferson Luiz da Costa Craveiro de Sa;58/SC;40953
Suboficial QSS SAD;Jefferson Luiz de Jesus do Nascimento;160/SCC;34409
Suboficial QSS BMA;Jefferson Machado de Ávila;113/SCC;36584
Suboficial BEI;Jefferson Mancini;81/SC;40581
Capitão QOEA SVA;Jefferson Monteiro Reimão;141/SC;37306
Suboficial QSS SAD;Jefferson Novais da Cruz;107/SC;39869
Suboficial QSS BEI;Jefferson Palandi;107/SC;39869
Cabo QCB BMA;Jefferson Rodrigues Melo;204/SC;38405
Suboficial QSS BFT;Jefferson Rodrigues Tavares;189/SC;41312
Cabo QCB SAD;Jefferson Siqueira Flores;161/SC;37673
Suboficial BET;Jefferson Tristão de Souza;81/SC;40581
Primeiro-Sargento QSS SEL;Jefferson Willians Alvim Guimaraes;1.659/SCGC;42725
Suboficial QSS BCT;Jefte Rangel Ferreira;182/SCGC;42053
Senhor;Jehovah Maximiano;189/SC;41312
Suboficial QSS SAD;Jeids da Silva Souza;2/SCGC;43836
Suboficial QSS BCO;Jeilson Joel de Oliveira;189/SC;41312
Terceiro-Sargento QESA BSP;Jener Souza Ferreira;245/SC;37693
Senhora;Jeni Alexandre dos Santos;204/SC;38405
Primeiro-Sargento QSS BET;Jenier Serapio Batista;29/SCGC;29/01/2016
Terceiro-Sargento;Jeosafá Azevedo Ramos;81/SC;40581
Segundo-Sargento QSS BET;Jeosafá dos Santos Mendonça;113/SC;36944
Senhor;Jeová Felicíssimo de Souza;086/SCC;30336
Segundo-Sargento BFT;Jeovah Carlos de Sousa;107/SC;40234
Soldado BM (MT);Jeovano Almeida Lima;107/SC;40234
