ORDEM DO MÉRITO AERONÁUTICO;;;;;;;
;;;;;;;
INSÍGNIAS - INSTITUIÇÕES;;;;;;;
;;;;;;;
(Atualizada até Novembro de 2024);;;;;;;
;;;;;;;
NR;SIGLA_ORG;DESCRIÇÃO;INSTITUICÃO;CATEG;DT_INSIG;DT_DOU;REG
150;EMFA;Estado-Maior das Forças Armadas;EMFA;Bandeira;20/09/1983;27/09/1983;4149
151;EME;Estado-Maior do Exército;Exército;Estandarte;30/09/2010;01/10/2010;11063
152;FAYS;Fazenda da Aeronáutica de Pirassununga;Aeronáutica;Estandarte;12/11/1948;16/10/2018;13505
153;FAP;Força Aérea Paraguaia;Exterior;Estandarte;06/09/2004;08/09/2004;9234
154;FundOs;Fundação Osório;Exército;Estandarte;19/10/1965;20/10/1965;1419
155;GSI-PR;Gabinete de Segurança Institucional da Presidência da República;Presidência;Estandarte;21/10/2022;21/10/2022;201
156;GABAER;Gabinete do Ministro da Aeronáutica;Aeronáutica;Estandarte;21/09/1995;22/09/1995;
157;GONFALÃO;Gonfalão da Força Expedicionária Brasileira na Itália;Exterior;Bandeira;30/09/2010;01/10/2010;11065
158;GONFALÃO;Gonfalão do Primeiro Grupo de Aviação de Caça (1º Gavca);Exterior;Estandarte;18/12/1943;13/10/2016;13157
159;GAP BR;Grupamento de Apoio de Brasília;Aeronáutica;Estandarte;25/09/2008;26/09/2008;10015
160;GptFNNA;Grupamento de Fuzileiros Navais de Natal;Marinha;Estandarte;01/10/2003;02/10/2003;8987
161;GTE;Grupo de Transporte Especial;Aeronáutica;Estandarte;14/10/1992;15/10/1992;6226
162;GEIV;Grupo Especial de Inspeção em Vôo;Aeronáutica;Estandarte;28/09/1999;29/09/1999;7759
163;HCA;Hospital Central da Aeronáutica;Aeronáutica;Estandarte;26/09/2005;27/09/2005;9474
164;HFA;HOSPITAL DAS FORÇAS ARMADAS;Exército;Estandarte;15/12/2017;;
165;HABE;Hospital de Aeronáutica de Belém;Aeronáutica;Estandarte;21/09/1995;22/09/1995;
166;HACO;Hospital de Aeronáutica de Canoas;Aeronáutica;Estandarte;20/09/1985;23/09/1985;4719
167;HARF;Hospital de Aeronáutica de Recife;Aeronáutica;Estandarte;11/09/1996;12/09/1996;7118
168;HASP;Hospital de Aeronáutica de São Paulo;Aeronáutica;Estandarte;26/09/2005;27/09/2005;9475
169;HAAF;Hospital de Aeronáutica dos Afonsos;Aeronáutica;Estandarte;21/09/1995;22/09/1995;
170;HFAG;Hospital de Força Aérea do Galeão;Aeronáutica;Estandarte;26/09/2005;27/09/2005;9485
171;ICRJ;Iate Clube do Rio de Janeiro;Outros;Bandeira;25/03/1920;23/09/2019;14268
172;IAE;Instituto de Aeronáutica e Espaço;Aeronáutica;Estandarte;25/10/2013;25/10/2013;12108
173;ILA;Instituto de Logística da Aeronáutica;Aeronáutica;Estandarte;02/10/2017;03/10/2017;13490
174;IPA;INSTITUTO DE PSICOLOGIA DA AERONÁUTICA;Aeronáutica;Estandarte;25/11/1988;;
175;INCAER;Instituto Histórico-Cultural da Aeronáutica;Aeronáutica;Estandarte;16/02/1996;21/10/2015;12830
176;IME;Instituto Militar de Engenharia;Exército;Estandarte;12/09/1990;11/10/1990;5817
177;ITA;Instituto Tecnológico de Aeronáutica;Aeronáutica;Estandarte;21/06/2007;22/10/2014;12478
178;JID;Junta Interamericana de Defesa;Exterior;Estandarte;30/03/1942;13/10/2016;13107
179;LAQFA;Laboratório Químico-Farmacêutico da Aeronáutica;Aeronáutica;Estandarte;26/09/2005;27/09/2005;9476
180;LDN;Liga da Defesa Nacional;Outros;Estandarte;04/10/2007;05/10/2007;10006
181;MINDEF;Ministério da Defesa;Outros;Bandeira;20/09/2006;21/09/2006;9496
182;MMA;Ministério da Marinha;Marinha;Estandarte;11/09/1996;12/09/1996;7120
183;MEX;Ministério do Exército;Exército;Estandarte;11/09/1996;12/09/1996;7121
184;MisTir;Missão Tiriós;Civil/Religiosa;Bandeira;14/10/1992;15/10/1992;6227
185;;Musée de L'Air et de L'Espace;Outros;;07/06/2006;08/06/2006;
186;MUSAL;Museu Aeroespacial;Aeronáutica;Estandarte;17/10/2002;18/10/2002;8592
187;NAelMG-Mar;Navio Aeródromo Minas Gerais;Marinha;Bandeira;19/10/1970;19/10/1970;1991
188;NAESPAULO;Navio-Aeródromo São Paulo;Marinha;Estandarte;26/09/2005;27/09/2005;9479
189;9º Btl Eng Cmb;Nono Batalhão de Engenharia de Combate - Batalhão Carlos Camisão;Exército;Estandarte;30/09/2010;01/10/2010;11064
190;9º DN;Nono Distrito Naval;Marinha;Estandarte;05/10/2021;06/10/2021;14887
191;NUHFAB;Núcleo do Hospital de Força Aérea de Brasília;Aeronáutica;Estandarte;26/09/2005;27/09/2005;9477
192;OABR;Odontoclínica de Aeronáutica de Brasília;Aeronáutica;Estandarte;26/09/2005;27/09/2005;9478
193;8º GAC Pqdt;Oitavo Grupo de Artilharia de Campanha Paraquedista;Exército;Estandarte;29/10/2013;29/10/2013;12107
194;PIPAR;Pagadoria de Inativos e Pensionistas da Aeronáutica;Aeronáutica;Estandarte;19/10/2012;22/10/2012;11799
195;PAMA GL;Parque de Material Aeroáutico do Galeão;Aeronáutica;Estandarte;09/09/2004;21/10/2015;12831
196;PAMA LS;Parque de Material Aeronáutico de Lagoa Santa;Aeronáutica;Estandarte;01/09/1987;02/09/1987;5045
197;PAMA RF;Parque de Material Aeronáutico de Recife;Aeronáutica;Estandarte;12/09/1990;11/10/1990;5819
198;PAMA SP;Parque de Material Aeronáutico de São Paulo;Aeronáutica;Estandarte;08/09/1989;22/09/1989;5528
199;PAMA AF;Parque de Material Aeronáutico dos Afonsos;Aeronáutica;Estandarte;20/09/1985;23/09/1985;4717
200;PM-DF;Polícia Militar do Distrito Federal;Polícia Militar;Estandarte;23/09/1993;15/10/1993;
201;PME-MG;Polícia Militar do Estado de Minas Gerais ;Polícia Militar;Estandarte;29/09/2009;30/09/2009;10650
202;PABR;Prefeitura de Aeronáutica de Brasília ;Aeronáutica;Estandarte;25/09/2008;26/09/2008;10017
203;PANT;Prefeitura de Aeronáutica de Natal;Aeronáutica;Estandarte;21/10/2022;21/10/2022;201
204;PARF;Prefeitura de Aeronáutica de Recife;Aeronáutica;Estandarte;26/06/1946;13/10/2016;13156
205;PASP;Prefeitura de Aeronáutica de São Paulo;Aeronáutica;Estandarte;21/10/2022;21/10/2022;201
206;PAGL;Prefeitura de Aeronáutica do Galeão;Aeronáutica;Estandarte;14/03/1951;24/09/2019;14267
207;1ª ALADA;Primeira Ala de Defesa Aérea;Aeronáutica;Bandeira;02/10/1978;03/10/1978;
208;1ª BAAAE;Primeira Brigada de Artilharia Anti Aérea;Exército;Estandarte;14/10/1992;15/10/1992;6225
209;I FAE;Primeira Força Aérea;Aeronáutica;Estandarte;03/07/2006;22/10/2014;12477
210;1º B Com Sl;Primeiro Batalhão de Comunicação de Selva;Exército;Estandarte;;22/10/2014;12480
211;1° BEngC-Ex;Primeiro Batalhão de Engenharia de Combate;Exército;Bandeira;23/10/1963;23/10/1963;1199
212;1° BFE;Primeiro Batalhão de Forças Especiais;Exército;Estandarte;04/10/2007;05/10/2007;10003
213;1 BFr-Ex;Primeiro Batalhão de Fronteiras;Exército;Bandeira;15/10/1963;16/10/1963;1194
214;CINDACTA 1;Primeiro Centro Integrado de Defesa Aérea e Controle de Trafego Aéreo;Aeronáutica;;23/09/1993;15/10/1993;
215;I COMAR;Primeiro Comando Aéreo Regional;Aeronáutica;Estandarte;18/09/1991;25/09/1991;
216;ESQDVF-1;Primeiro Esquadrão de Aviões de Interceptação e Ataque;Marinha;Estandarte;26/09/2005;27/09/2005;9480
217;1° Esqd C Mec;Primeiro Esquadrão de Cavalaria Leve - Esquadrão Tenente Amaro;Exército;Estandarte;26/09/2005;27/09/2005;9481
218;1º ESQDHS-1;Primeiro Esquadrão de Helicópteros Anti-Submarinos;Marinha;Bandeira;25/09/2008;26/09/2008;10016
219;ESQDHU-1;Primeiro Esquadrão de Helicópteros de Emprego Geral;Marinha;Estandarte;26/10/2013;26/10/2013;12106
220;ESQDHA-1;Primeiro Esquadrão de Helicópteros de Esclarecimento e Ataque;Marinha;Estandarte;29/09/2009;30/09/2009;10648
221;EsqdHI-1;Primeiro Esquadrão de Helicópteros de Instrução;Marinha;Estandarte;;22/10/2014;12479
222;1° ETA;Primeiro Esquadrão de Transporte Aéreo;Aeronáutica;Estandarte;23/09/1997;24/09/1997;7125
223;1°/10° GAV;Primeiro Esquadrão do Décimo Grupo de Aviação;Aeronáutica;;23/09/1993;15/10/1993;
224;1°/14° GAV;Primeiro Esquadrão do Décimo Quarto Grupo de Aviação;Aeronáutica;Estandarte;15/09/1982;01/10/1982;3910
225;1°/15° GAV;Primeiro Esquadrão do Décimo Quinto Grupo de Aviação;Aeronáutica;Estandarte;11/09/1996;12/09/1996;7122
226;1°/16° GAV;Primeiro Esquadrão do Décimo Sexto Grupo de Aviação;Aeronáutica;Estandarte;17/10/2002;18/10/2002;8594
227;1°/8° GAv;Primeiro Esquadrão do Oitavo Grupo de Aviação;Aeronáutica;Estandarte;06/09/2004;08/09/2004;9229
228;1º/1º GCC;Primeiro Esquadrão do Primeiro Grupo de Comunicação e Controle;Aeronáutica;Estandarte;19/12/1950;13/10/2016;13161
229;1°/1° GT;Primeiro Esquadrão do Primeiro Grupo de Transporte;Aeronáutica;Estandarte;16/09/1998;17/09/1998;7568
230;1°/4° GAV;Primeiro Esquadrão do Quarto Grupo de Aviação;Aeronáutica;Estandarte;07/10/1994;13/10/1994;
231;1º/5º Gav;Primeiro Esquadrão do Quinto Grupo de Aviação;Aeronáutica;Estandarte;05/10/1944;16/10/2018;13508
232;1º/2º GT;Primeiro Esquadrão do Segundo Grupo de Transporte;Aeronáutica;;28/09/1999;29/09/1999;7760
233;1º/7º GAv;Primeiro Esquadrão do Sétimo Grupo de Aviação;Aeronáutica;Estandarte;26/09/2000;27/09/2000;
234;1°/6° GAV;Primeiro Esquadrão do Sexto Grupo de Aviação;Aeronáutica;Estandarte;05/09/1988;20/09/1988;5438
235;1º GAAA;Primeiro Grupo de Artilharia Antiaérea;Exército;Estandarte;26/09/2000;27/09/2000;
236;1° GAVCA;Primeiro Grupo de Aviação de Caça;Aeronáutica;Bandeira;09/10/1956;11/10/1956;400
237;GAVEMB1;Primeiro Grupo de Aviação Embarcada;Aeronáutica;Estandarte;15/09/1981;22/09/1981;3805
238;1º GCC;Primeiro Grupo de Comunicação e Controle;Aeronáutica;Estandarte;19/10/2012;22/10/2012;11798
239;1° GDA;Primeiro Grupo de Defesa Aérea;Aeronáutica;Estandarte;07/10/1994;13/10/1994;
240;1º GTT;Primeiro Grupo de Transporte de Tropa;Aeronáutica;Estandarte;22/01/1958;25/09/2019;14266
